title,year,stars
36 Saints,2013,"Jeffrey De Serrano, Franky G, Donna McKechnie, Jamie Tirelli"
Lucky Them,2013,"Oliver Platt, Nina Arianda, Toni Collette, Thomas Haden Church"
The Ultimate Life,2013,"Logan Bartholomew, Ali Hillis, Lee Meriwether, Peter Fonda"
Rush,2013,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara"
Under the Skin,2013,"Dougie McConnell, Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay"
The Mortal Instruments: City of Bones,2013,"Robert Sheehan, Jemima West, Lily Collins, Jamie Campbell Bower"
Paranoia,2013,"Amber Heard, Gary Oldman, Harrison Ford, Liam Hemsworth"
Snowpiercer,2013,"Ed Harris, Tilda Swinton, Jamie Bell, Chris Evans"
Contracted,2013,"Alice Macdonald, Najarra Townsend, Matt Mercer, Caroline Williams"
Stand Clear of the Closing Doors,2013,"Jesus Sanchez-Velez, Azul Zorrilla, Andrea Suarez Paz, Tenoch Huerta"
Hellaware,2013,"Sophia Takal, Keith Poulson, Duane C. Wallace, Brent Butler"
Goodbye World,2013,"Kid Cudi, Adrian Grenier, Mckenna Grace, Kerry Bishé"
Europa Report,2013,"Christian Camargo, Embeth Davidtz, Sharlto Copley, Michael Nyqvist"
Hair Brained,2013,"Parker Posey, Brendan Fraser, Julia Garner, Alex Wolff"
The Immigrant,2013,"Jeremy Renner, Dagmara Dominczyk, Marion Cotillard, Joaquin Phoenix"
The Last Days on Mars,2013,"Romola Garai, Liev Schreiber, Elias Koteas, Olivia Williams"
Blue Ruin,2013,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack"
The Bling Ring,2013,"Katie Chang, Claire Julien, Israel Broussard, Emma Watson"
Last Passenger,2013,"Iddo Goldberg, David Schofield, Kara Tointon, Dougray Scott"
Beneath,2013,"Bonnie Dennison, Daniel Zovatto, Chris Conroy, Jon Orsini"
The Colony,2013,"Charlotte Sullivan, Laurence Fishburne, Kevin Zegers, Bill Paxton"
The Machine,2013,"Sam Hazeldine, Denis Lawson, Caity Lotz, Toby Stephens"
Bluebird,2013,"Emily Meade, Amy Morton, John Slattery, Louisa Krause"
Odd Thomas,2013,"Anton Yelchin, Leonor Varela, Ashley Sommers, Matthew Page"
Down and Dangerous,2013,"John T. Woods, Judd Nelson, Ross Marquand, Paulie Rojas Redding"
Detour,2013,"Brea Grant, Neil Hopkins, John Forest, Ptolemy Slocum"
A Farewell to Fools,2013,"Gérard Depardieu, Bogdan Iancu, Laura Morante, Harvey Keitel"
The Wait,2013,"Luke Grimes, Devon Gearhart, Chloë Sevigny, Jena Malone"
Some Girl(s),2013,"Mía Maestro, Kristen Bell, Adam Brody, Zoe Kazan"
Dead Man Down,2013,"Dominic Cooper, Noomi Rapace, Colin Farrell, Terrence Howard"
Awful Nice,2013,"Brett Gelman, Zahn McClarnon, Laura Ramsey, Christopher Meloni"
Safe Haven,2013,"Josh Duhamel, Julianne Hough, David Lyons, Cobie Smulders"
Side Effects,2013,"Channing Tatum, Catherine Zeta-Jones, Jude Law, Rooney Mara"
Magic Magic,2013,"Juno Temple, Michael Cera, Emily Browning, Catalina Sandino Moreno"
Afternoon Delight,2013,"Kathryn Hahn, Link Ruiz, Cesar Garcia, Jane Lynch"
Ass Backwards,2013,"June Diane Raphael, ""Vincent DOnofrio"", Casey Wilson, Jon Cryer"
Charlie Countryman,2013,"Evan Rachel Wood, Mads Mikkelsen, Shia LaBeouf, Til Schweiger"
Ain't Them Bodies Saints,2013,"Ben Foster, Casey Affleck, Rooney Mara, Nate Parker"
The East,2013,"Toby Kebbell, Brit Marling, Ellen Page, Alexander Skarsgård"
Fruitvale Station,2013,"Melonie Diaz, Octavia Spencer, Michael B. Jordan, Kevin Durand"
Hank and Asha,2013,"Anna Tydlitatova, Andrew Pastides, Brian Sloan, Mahira Kakkar"
Broken City,2013,"Jeffrey Wright, Russell Crowe, Catherine Zeta-Jones, Mark Wahlberg"
Warm Bodies,2013,"John Malkovich, Teresa Palmer, Nicholas Hoult, Analeigh Tipton"
The Color of Time,2012,"Zach Braff, Jessica Chastain, Mila Kunis, James Franco"
SOMM,2012,"Dave Cauble, Ian Cauble, Shayn Bjornholm, Bo Barrett"
I Do,2012,"Maurice Compte, David W. Ross, Alicia Witt, Jamie-Lynn Sigler"
Ex-Girlfriends,2012,"Jennifer Carpenter, Kristen Connolly, Alexander Poe, Liz Holtan"
Just 45 Minutes from Broadway,2012,"Diane Salinger, Judd Nelson, Tanna Frederick, Jack Heller"
Atlas Shrugged II: The Strike,2012,"Esai Morales, Jason Beghe, Samantha Mathis, Patrick Fabian"
Not Fade Away,2012,"Jack Huston, Will Brill, Brahm Vaccarella, John Magaro"
The Lords of Salem,2012,"Bruce Davison, Jeff Daniel Phillips, Meg Foster, Sheri Moon Zombie"
Casting By,2012,"Risa Bramon Garcia, Marion Dougherty, Ellen Chenoweth, Deborah Aquila"
Viola,2012,"Agustina Muñoz, Elisa Carricajo, Alessio Rigo de Righi, María Villar"
The Impossible,2012,"Ewan McGregor, Oaklee Pendergast, Naomi Watts, Tom Holland"
Cloud Atlas,2012,"Hugh Grant, Tom Hanks, Halle Berry, Hugo Weaving"
Frances Ha,2012,"Michael Zegen, Mickey Sumner, Greta Gerwig, Adam Driver"
Vamps,2012,"Larry Wilmore, Krysten Ritter, Alicia Silverstone, Bettina Bresnan"
Sparkle,2012,"Derek Luke, Carmen Ejogo, Whitney Houston, Jordin Sparks Thomas"
Craigslist Joe,2012,"Kristos Andrews, Joseph Garner, Michael T. Kuciak, Gina Keatley"
My Amityville Horror,2012,"Laura DiDio, Susan Bartell, Marvin Scott, Daniel Lutz"
BearCity 2: The Proposal,2012,"Gerald McCullouch, Joe Conti, Chuck Southworth, Stephen Lambeth"
Bad Kids Go to Hell,2012,"Ben Browder, Cameron Deane Stewart, Jeffrey Schmidt, Ali Faulkner"
Seeking a Friend for the End of the World,2012,"Keira Knightley, Steve Carell, Melanie Lynskey, Patton Oswalt"
My Father and the Man in Black,2012,"Johnny Cash, Saul Holiff, Bob Dylan, Jonathan Holiff"
Nate & Margaret,2012,"Conor McCahill, Tyler Ross, Gaby Hoffmann, Natalie West"
Maniac,2012,"Megan Duffy, Nora Arnezeder, America Olivo, Elijah Wood"
Miss Lovely,2012,"Niharika Singh, Nawazuddin Siddiqui, Zeena Bhatia, Anil George"
Killing Them Softly,2012,"Ray Liotta, Brad Pitt, Richard Jenkins, Scoot McNairy"
Rust and Bone,2012,"Céline Sallette, Armand Verdure, Matthias Schoenaerts, Marion Cotillard"
Piranha 3DD,2012,"Ving Rhames, Matt Bush, David Hasselhoff, Danielle Panabaker"
Sexual Chronicles of a French Family,2012,"Leïla Denio, Stephan Hersoen, Mathias Melloul, Valérie Maës"
Future Weather,2012,"Perla Haney-Jardine, Amy Madigan, Lili Taylor, Marin Ireland"
The Playroom,2012,"Jonathon McClendon, Alexandra Doke, Olivia Harris, Ian Veteto"
Graceland,2012,"Dido de la Paz, Menggie Cobarrubias, Arnold Reyes, Leon Miguel"
Free Samples,2012,"Jess Weixler, Jason Ritter, Halley Feiffer, Jesse Eisenberg"
Brake,2012,"Chyler Leigh, Tom Berenger, JR Bourne, Stephen Dorff"
30 Beats,2012,"Jennifer Tilly, Condola Rashad, Justin Kirk, Jason Day"
Get the Gringo,2012,"Kevin Balmore, Mel Gibson, Daniel Giménez Cacho, Jesús Ochoa"
Casa de mi Padre,2012,"Diego Luna, Will Ferrell, Gael García Bernal, Nick Offerman"
Side by Side,2012,"Dion Beebe, Derek Ambrosi, Andrzej Bartkowiak, Michael Ballhaus"
ATM,2012,"""Mike OBrian"", Alice Eve, Brian Geraghty, Josh Peck"
The Girl from the Naked Eye,2012,"Dominique Swain, Samantha Streets, Ron Yuan, Jason Yee"
The Samaritan,2012,"A.C. Peterson, Samuel L. Jackson, Luke Kirby, Ruth Negga"
Room 237,2012,"Bill Blakemore, John Fell Ryan, Juli Kearns, Geoffrey Cocks"
My Brother the Devil,2012,"Elarica Johnson, Fady Elsayed, Saïd Taghmaoui, James Krishna Floyd"
Liberal Arts,2012,"Elizabeth Reaser, Elizabeth Olsen, Zac Efron, Josh Radnor"
Safety Not Guaranteed,2012,"Karan Soni, Jake Johnson, Mark Duplass, Aubrey Plaza"
Detropia,2012,"Michael Wanko, Noah Stewart, Rachele Gilmnore, Michigan Opera Theatre Orchestra"
Beasts of the Southern Wild,2012,"Lowell Landes, Quvenzhané Wallis, Levy Easterly, Dwight Henry"
The Double,2011,"Topher Grace, Martin Sheen, Tamer Hassan, Richard Gere"
Hunky Dory,2011,"Minnie Driver, Kristian Gwilliam, Aled Pugh, Adam Byard"
In the Family,2011,"Trevor St. John, Sebastian Banes, Patrick Wang, Lisa Altomare"
Art History,2011,"Kent Osborne, Joe Swanberg, Josephine Decker, Kris Rey"
11 Flowers,2011,"Wenqing Liu, Guo Liuxing Zhong, Kexuan Zhang, Jingchun Wang"
Samsara,2011,"Ni Made Megahadi Pratiwi, Putu Dinda Pratika, Balinese Tari Legong Dancers, Puti Sri Candra Dewi"
Creature,2011,"Mehcad Brooks, Daniel Bernhardt, Serinda Swan, Dillon Casey"
Seeking Justice,2011,"January Jones, Harold Perrineau, Nicolas Cage, Guy Pearce"
The Inbetweeners,2011,"Blake Harrison, Joe Thomas, James Buckley, Simon Bird"
A Better Life,2011,"José Julián, Demián Bichir, Joaquín Cosio, ""Eddie Piolin Sotelo"""
Scalene,2011,"Hanna Hall, Adam Scarimbolo, Margo Martindale, Jim Dougherty"
Judy Moody and the Not Bummer Summer,2011,"Parris Mosteller, Janet Varney, Jordana Beatty, Heather Graham"
The Tree of Life,2011,"Jessica Chastain, Hunter McCracken, Brad Pitt, Sean Penn"
Abandoned,2011,"Thomas Dekker, Elizabeth McGovern, Joseph Morgan, Lynn Collins"
Stuck Between Stations,2011,"Michael Imperioli, Sam Rosen, Josh Hartnett, Zoe Lister-Jones"
Puncture,2011,"Mark Kassen, Marshall Bell, Vinessa Shaw, Chris Evans"
Atlas Shrugged: Part I,2011,"Grant Bowler, Edi Gathegi, Taylor Schilling, Matthew Marsden"
5 Days of War,2011,"Heather Graham, Richard Coyle, Rupert Friend, Emmanuelle Chriqui"
Shut Up Little Man! An Audio Misadventure,2011,"Daniel Clowes, Mitch Deprey, Eddie Lee Sausage, Ivan Brunetti"
The Beaver,2011,"Anton Yelchin, Mel Gibson, Cherry Jones, Jodie Foster"
Detention,2011,"Shanley Caswell, Spencer Locke, Josh Hutcherson, Dane Cook"
Dragonslayer,2011,"Sid Rocket, ""Josh Skreech Sandoval"""
The Divide,2011,"Milo Ventimiglia, Lauren German, Michael Biehn, Courtney B. Vance"
The FP,2011,"Lee Valmassy, Art Hsu, Jason Trost, Caitlyn Folley"
Attack the Block,2011,"John Boyega, Leeon Jones, Alex Esmail, Jodie Whittaker"
Making the Boys,2011,"David Carter, Edward Albee, Matt Baney, Joe Allen"
Ironclad,2011,"Paul Giamatti, Jason Flemyng, James Purefoy, Brian Cox"
The Eagle,2011,"István Göz, Channing Tatum, Jamie Bell, Donald Sutherland"
Dressed,2011,"Mickey Boardman, Simon Collins, Simon Doonan, Amanda Fields"
Bullhead,2011,"Barbara Sarafian, Matthias Schoenaerts, Jeroen Perceval, Jeanne Dandoy"
Apart,2011,"Josh Danziger, Bruce McGill, Olesya Rulin, Joey Lauren Adams"
We Were Here,2011,"Ed Wolf, Guy Clark, Eileen Glutzer, Daniel Goldstein"
Bombay Beach,2011,
Hell and Back Again,2011,"Ashley Harris, Nathan Harris, The Marines of Echo Company, Christian Cabaniss"
Restless City,2011,"Lenore Thomas Douglas, Momo Dione, Ger Duany, Hervé Diese"
I Melt with You,2011,"Rob Lowe, Jeremy Piven, Christian McKay, Thomas Jane"
Another Earth,2011,"DJ Flava, Brit Marling, William Mapother, Matthew-Lee Erlbach"
Red State,2011,"Michael Angarano, Melissa Leo, John Goodman, Michael Parks"
The Catechism Cataclysm,2011,"Judy Findlay, Robert Longstreet, Steve Little, Carlos Lopez"
On the Ice,2011,"John Miller, Frank Qutuq Irelan, Josiah Patkotak, Teddy Kyle Smith"
Bellflower,2011,"Jessie Wiseman, Rebekah Brandes, Evan Glodell, Tyler Dawson"
Hood to Coast,2011,"Rachel Larsen, Margaret Lily Andres, Jason Baldwin, Jenny Macy"
Happy Life,2011,"Matt Pinfield, Amanda Salane, Tom McCaffrey, Gilles Decamps"
Return,2011,"Michael Shannon, Linda Cardellini, John Slattery, Talia Balsam"
Kati with an I,2010,Kati Genthner
Dylan Dog: Dead of Night,2010,"Taye Diggs, Brandon Routh, Anita Briem, Sam Huntington"
Queen of the Lot,2010,"David Proval, Noah Wyle, Tanna Frederick, Christopher Rydell"
Carbon Nation,2010,"Lela Allums, Peter Barnes, Jerry M. Allums, Rohit T. Aggarwala"
Wrecked,2010,"Adrian G. Griffiths, Caroline Dhavernas, Ryan Robbins, Adrien Brody"
Under the Boardwalk: The Monopoly Story,2010,"Philip Orbanes, Matthew McNally, Zachary Levi, Ken Koury"
The Black Tulip,2010,"Leo Solomon, Haji Gul Aser, Sonia Nassery Cole, Somajia Razaya"
Last Night,2010,"Sam Worthington, Keira Knightley, Eva Mendes, Guillaume Canet"
Henry's Crime,2010,"Keanu Reeves, James Caan, Judy Greer, Vera Farmiga"
Let Me In,2010,"Cara Buono, Kodi Smit-McPhee, Richard Jenkins, Chloë Grace Moretz"
Girlfriend,2010,"Evan Sneider, Shannon Woodward, Jackson Rathbone, Amanda Plummer"
Bunraku,2010,"Demi Moore, Gackt, Josh Hartnett, Woody Harrelson"
Super,2010,"Liv Tyler, Rainn Wilson, Ellen Page, Kevin Bacon"
The Way,2010,"Emilio Estevez, Martin Sheen, Yorick van Wageningen, Deborah Kara Unger"
The King's Speech,2010,"Derek Jacobi, Helena Bonham Carter, Colin Firth, Geoffrey Rush"
The American,2010,"George Clooney, Violante Placido, Irina Björklund, Paolo Bonacelli"
The Expendables,2010,"Jason Statham, Dolph Lundgren, Sylvester Stallone, Jet Li"
Amigo,2010,"Arthur Acuña, Chris Cooper, Joel Torre, Garret Dillahunt"
Hello Lonesome,2010,"James Urbaniak, Sabrina Lloyd, Harry Chase, Lynn Cohen"
The Sons of Tennessee Williams,2010,"Charles Maddox, Ed Herlihy, George Roth, Tommy Dietsch"
BearCity,2010,"Kevin E. Smith, Carlos Abrieu, Joe Conti, Alex Di Dio"
Leap Year,2010,"Gustavo Sánchez Parra, Mónica Del Carmen, Diego Chas, Marco Zapata"
The Woodmans,2010,"Betty Woodman, George Woodman, Charles Woodman, Francesca Woodman"
In My Sleep,2010,"Lacey Chabert, Abigail Spencer, Tim Draxl, Philip Winchester"
The Lottery,2010,"Geoffrey Canada, Gregory Goodwine Jr., Candice Fryer, Cory Booker"
Harvest,2010,"Jack Carpenter, Robert Loggia, Arye Gross, Victoria Clark"
The People vs. George Lucas,2010,"Joe Nussbaum, Daryl Frazetti, Doug Jones, Damian Hess"
Monsters,2010,"Annalee Jefferies, Mario Zuniga Benavides, Whitney Able, Scoot McNairy"
Brotherhood,2010,"Arlen Escarpeta, Jon Foster, Trevor Morgan, Lou Taylor Pucci"
Gabi on the Roof in July,2010,"Lawrence Michael Levine, Louis Cancelmi, Sophia Takal, Brooke Bloom"
The Killing Jar,2010,"Harold Perrineau, Michael Madsen, Amber Benson, Jake Busey"
Red White & Blue,2010,"Jon Michael Davis, Amanda Fuller, Nick Holden, Marc Senter"
Skateland,2010,"Shiloh Fernandez, Brett Cullen, Heath Freeman, Ashley Greene"
As Good as Dead,2010,"Andie MacDowell, Cary Elwes, Matt Dallas, Frank Whaley"
Holy Rollers,2010,"Danny A. Abeckaser, Ari Graynor, Justin Bartha, Jesse Eisenberg"
The Runaways,2010,"Kristen Stewart, Michael Shannon, Dakota Fanning, Stella Maeve"
Buried,2010,"Ryan Reynolds, Stephen Tobolowsky, José Luis García Pérez, Robert Paterson"
Catfish,2010,"Henry Joost, Angela Wesselman-Pierce, Nev Schulman, Ariel Schulman"
Bhutto,2010,"Asif Ali Zardari, Bakhtawar Bhutto Zardari, Aseefa Bhutto Zardari, Bilawal Bhutto Zardari"
Family Affair,2010,
Last Train Home,2009,"Yang Zhang, Suqin Chen, Changhua Zhang, Qin Zhang"
House of Boys,2009,"Harry Ferrier, Loïc Peckels, Michael N. Kuehl, Layke Anderson"
Kings of Pastry,2009,"Philippe Rigollot, Jacquy Pfeiffer, Regis Lazard, Rachel Beaudry"
To Save a Life,2009,"Deja Kreutzberg, Steven Crowder, Joshua Weigel, Randy Wayne"
Pandorum,2009,"Antje Traue, Cam Gigandet, Dennis Quaid, Ben Foster"
Gentlemen Broncos,2009,"Mike White, John Baker, Michael Angarano, Jemaine Clement"
Solomon Kane,2009,"James Purefoy, Pete Postlethwaite, Max von Sydow, Rachel Hurd-Wood"
Bitch Slap,2009,"Michael Hurst, Julia Voth, America Olivo, Erin Cummings"
"Hugh Hefner: Playboy, Activist and Rebel",2009,"Count Basie, Joan Baez, Larry Adler, Bobbie Arnstein"
Trash Humpers,2009,"Brian Kotzur, Harmony Korine, Travis Nicholson, Rachel Korine"
Harry Brown,2009,"David Bradley, Charlie Creed-Miles, Emily Mortimer, Michael Caine"
The Good Heart,2009,"Paul Dano, Bill Buell, Boði, Brian Cox"
Jennifer's Body,2009,"Adam Brody, Amanda Seyfried, Megan Fox, Johnny Simmons"
The Human Centipede (First Sequence),2009,"Dieter Laser, Ashley C. Williams, Akihiro Kitamura, Ashlynn Yennie"
"The Goods: Live Hard, Sell Hard",2009,"Ving Rhames, Jeremy Piven, James Brolin, David Koechner"
The Collector,2009,"William Prael, Juan Fernández, Josh Stewart, Andrea Roth"
Dare,2009,"Emmy Rossum, Ashley Springer, Zach Gilford, Cady Huffman"
Irene in Time,2009,"Victoria Tennant, Tanna Frederick, Andrea Marcovicci, Karen Black"
Paper Man,2009,"Lisa Kudrow, Ryan Reynolds, Emma Stone, Jeff Daniels"
Impolex,2009,"Ben Shapiro, Kate Lyn Sheil, Bruno Meyrick Jones, ""Riley OBryan"""
Eyes Wide Open,2009,"Tzahi Grad, Zohar Shtrauss, Ran Danker, Tinkerbell"
Daddy Longlegs,2009,"Sage Ranaldo, Alex Greenblatt, Frey Ranaldo, Ronald Bronstein"
Spring Fever,2009,"Zhuo Tan, Hao Qin, Wei Wu, Sicheng Chen"
The Cove,2009,"Hardy Jones, ""Richard OBarry"", Michael Illiff, Louie Psihoyos"
Serious Moonlight,2009,"Timothy Hutton, Justin Long, Kristen Bell, Meg Ryan"
City Island,2009,"Steven Strait, Emily Mortimer, Andy Garcia, Julianna Margulies"
Winnebago Man,2009,"Keith Gordon, Nick Prueher, Ben Steinbauer, Jack Rebney"
The Girl with the Dragon Tattoo,2009,"Ewa Fröling, Noomi Rapace, Lena Endre, Michael Nyqvist"
Empire of Silver,2009,"Lei Hao, Jennifer Tilly, Aaron Kwok, Tielin Zhang"
Happy Tears,2009,"Demi Moore, Rip Torn, Parker Posey, Ellen Barkin"
Friday the 13th,2009,"Danielle Panabaker, Amanda Righetti, Jared Padalecki, Derek Mears"
The Exploding Girl,2009,"Maryann Urbano, Zoe Kazan, Mark Rendall, Hunter Canning"
Paper Heart,2009,"Gill Summers, Michael Cera, Jake Johnson, Charlyne Yi"
Moon,2009,"Kevin Spacey, Dominique McElligott, Sam Rockwell, Rosie Shaw"
Adam,2009,"Hugh Dancy, Rose Byrne, Amy Irving, Peter Gallagher"
Peter and Vandy,2009,"Tracie Thoms, Jess Weixler, Jason Ritter, Jesse L. Martin"
Rosencrantz and Guildenstern Are Undead,2009,"John Ventimiglia, Jake Hoffman, Kris Lemche, Devon Aoki"
World's Greatest Dad,2009,"Naomi Glick, Morgan Murphy, Robin Williams, Daryl Sabara"
Big Fan,2009,"Michael Rapaport, Marcia Jean Kurtz, Patton Oswalt, Kevin Corrigan"
The Vicious Kind,2009,"Adam Scott, Alex Frost, J.K. Simmons, Brittany Snow"
You Wont Miss Me,2009,"Stella Schnabel, Zachary Tucker, ""Simon OConnor"", Noah Kimmerling"
Precious,2009,"""MoNique"", Gabourey Sidibe, Paula Patton, Mariah Carey"
Bronson,2008,"Kelly Adams, Tom Hardy, Katy Barker, Luing Andrews"
Management,2008,"Jennifer Aniston, Margo Martindale, Woody Harrelson, Steve Zahn"
Youssou Ndour: I Bring What I Love,2008,"Kabou Guèye, Peter Gabriel, ""Youssou NDour"", Moustapha Mbaye"
The Hurt Locker,2008,"Jeremy Renner, Guy Pearce, Brian Geraghty, Anthony Mackie"
Prodigal Sons,2008,"Kimberly Reed, Carol McKerrow, Marc McKerrow, Claire Jones"
Prince of Broadway,2008,"Aiden Noesi, Prince Adu, Keyali Mayaga, Karren Karagulian"
The Blue Tooth Virgin,2008,"Tom Gilroy, Austin Peck, Bryce Johnson, Roma Maffia"
JCVD,2008,"Rock Chen, Hervé Sogne, Jean-Claude Van Damme, Valérie Bodson"
Garden Party,2008,"Erik Smith, Tierra Abbott, Vinessa Shaw, Christopher Allport"
The Strangers,2008,"Liv Tyler, Alex Fisher, Scott Speedman, Gemma Ward"
"Synecdoche, New York",2008,"Samantha Morton, Michelle Williams, Philip Seymour Hoffman, Catherine Keener"
Wendy and Lucy,2008,"David Koppell, Max Clement, Michelle Williams, Lucy"
Afterschool,2008,"Emory Cohen, Jeremy Allen White, Michael Stuhlbarg, Ezra Miller"
Under Our Skin,2008,"Sean Hughes, Jordan Fisher Smith, Mandy Hughes, Dana Walsh"
Fix,2008,"Tao Ruspoli, Olivia Wilde, Megalyn Echikunwoke, Shawn Andrews"
Touching Home,2008,"Ed Harris, Brad Dourif, Evan Jones, Robert Forster"
Expelled: No Intelligence Allowed,2008,"Ben Stein, Hector Avalos, Lili Asvar, Peter Atkins"
Delgo,2008,"Anne Bancroft, Freddie Prinze Jr., Chris Kattan, Val Kilmer"
Meet the Browns,2008,"Tamela J. Mann, Angela Bassett, David Mann, Tyler Perry"
The Promotion,2008,"Chris Conrad, Seann William Scott, Rick Gonzalez, John C. Reilly"
Humboldt County,2008,"Vicky Monroe, Jeremy Strong, Fairuza Balk, Peter Bogdanovich"
Looking for Palladin,2008,"Talia Shire, Pedro Armendáriz Jr., Ben Gazzara, David Moscow"
I've Loved You So Long,2008,"Laurent Grévill, Elsa Zylberstein, Serge Hazanavicius, Kristin Scott Thomas"
Death in Love,2008,"Josh Lucas, Morena Baccarin, Lukas Haas, Jacqueline Bisset"
Baghead,2008,"Ross Partridge, Elise Muller, Greta Gerwig, Steve Zissis"
Sleepwalking,2008,"AnnaSophia Robb, Charlize Theron, Deborra-Lee Furness, Nick Stahl"
Adventures of Power,2008,"Michael McKean, Ari Gold, Shoshannah Stern, Jane Lynch"
Smart People,2008,"Thomas Haden Church, Sarah Jessica Parker, Ellen Page, Dennis Quaid"
Bigger Stronger Faster*,2008,"Chris Bell, Hank Aaron, Mike Bell, Mark Bell"
The Wackness,2008,"Ben Kingsley, Famke Janssen, Olivia Thirlby, Josh Peck"
Sunshine Cleaning,2008,"Jason Spevack, Alan Arkin, Amy Adams, Emily Blunt"
Unrelated,2007,"Harry Kershaw, Kathryn Worth, Henry Lloyd-Hughes, Emma Hiddleston"
Mr. Magorium's Wonder Emporium,2007,"Dustin Hoffman, Ted Ludzik, Jason Bateman, Natalie Portman"
Awake,2007,"Lena Olin, Terrence Howard, Jessica Alba, Hayden Christensen"
P2,2007,"Rachel Nichols, Philip Akin, Wes Bentley, Simon Reynolds"
This Christmas,2007,"Regina King, Columbus Short, Idris Elba, Delroy Lindo"
Funny Games,2007,"Brady Corbet, Naomi Watts, Michael Pitt, Tim Roth"
Paranormal Activity,2007,"Mark Fredrichs, Amber Armstrong, Katie Featherston, Micah Sloat"
Year of the Fish,2007,"Randall Duk Kim, Tsai Chin, Ken Leung, An Nguyen"
Up the Yangtze,2007,"Jerry Bo Yu Chen, Campbell Ping He, Cindy Shui Yu"
Everybody Wants to Be Italian,2007,"John Kapelos, Cerina Vincent, Jay Jablonski, John Enos III"
Death Defying Acts,2007,"Saoirse Ronan, Guy Pearce, Catherine Zeta-Jones, Timothy Spall"
Battle for Haditha,2007,"Nathan De La Cruz, Matthew Knoll, Elliot Ruiz, Eric Mehalacopoulos"
The Babysitters,2007,"Paul Borghese, Anthony Cirillo, Lauren Birkell, Chira Cassel"
Honeydripper,2007,"Yaya DaCosta, Danny Glover, LisaGay Hamilton, Charles S. Dutton"
Diary of the Dead,2007,"Shawn Roberts, Todd Schroeder, Michelle Morgan, Joshua Close"
The Visitor,2007,"Haaz Sleiman, Danai Gurira, Hiam Abbass, Richard Jenkins"
Then She Found Me,2007,"Matthew Broderick, Bette Midler, Colin Firth, Helen Hunt"
Into the Wild,2007,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
Juno,2007,"Jason Bateman, Michael Cera, Ellen Page, Jennifer Garner"
Brick Lane,2007,"Satish Kaushik, Tannishtha Chatterjee, Christopher Simpson, Naeema Begum"
Meat Loaf: In Search of Paradise,2007,"John Miceli, Kasim Sulton, Meat Loaf, Mark Alexander"
"Lust, Caution",2007,"Wei Tang, Leehom Wang, Joan Chen, Tony Chiu-Wai Leung"
Dragon Wars: D-War,2007,"Robert Forster, Craig Robinson, Jason Behr, Amanda Brooks"
Frontier(s),2007,"Samuel Le Bihan, Patrick Ligardes, Aurélien Wiik, Karina Testa"
Remember the Daze,2007,"Melonie Diaz, Katrina Begin, Charles Chen, Sunny Doench"
Holding Trevor,2007,"Melissa Searing, Christopher Wyllie, Jay Brannan, Brent Gorski"
Choose Connor,2007,"Darin Cooper, Chris Marquette, James Runcorn, Alex D. Linz"
Slipstream,2007,"Anthony Hopkins, Stella Hopkins, Christian Slater, John Turturro"
Persepolis,2007,"Gena Rowlands, Chiara Mastroianni, Danielle Darrieux, Catherine Deneuve"
Chop Shop,2007,"Rob Sowulski, Isamar Gonzales, Alejandro Polanco, Carlos Zapata"
Paranoid Park,2007,"Daniel Liu, Gabe Nevins, Taylor Momsen, Jake Miller"
The Air I Breathe,2007,"Sarah Michelle Gellar, Andy Garcia, Brendan Fraser, Kevin Bacon"
In Search of a Midnight Kiss,2007,"Kathleen Luong, Sara Simmonds, Brian McGuire, Scoot McNairy"
The Education of Charlie Banks,2007,"Eva Amurri Martino, Chris Marquette, Jason Ritter, Jesse Eisenberg"
Wind Chill,2007,"Ashton Holmes, Ned Bellamy, Martin Donovan, Emily Blunt"
Girls Rock!,2007,
The King of Kong: A Fistful of Quarters,2007,"Mark Alpiger, Steve Wiebe, Adam Wood, Billy Mitchell"
Sunshine,2007,"Cliff Curtis, Rose Byrne, Cillian Murphy, Chris Evans"
The Trouble with Romance,2007,"Josie Davis, Jordan Belfi, John Churchill, Portia Dawson"
Tortilla Heaven,2007,"Olivia Hussey, Miguel Sandoval, George Lopez, José Zúñiga"
Hannah Takes the Stairs,2007,"Kent Osborne, Andrew Bujalski, Greta Gerwig, Ry Russo-Young"
Certifiably Jonathan,2007,"Robin Williams, Howie Mandel, Jonathan Winters, Nora Dunn"
Captivity,2007,"Michael Harney, Pruitt Taylor Vince, Elisha Cuthbert, Daniel Gillies"
Reno 911! Miami,2007,"Lennie Loftin, Robert Ben Garant, Kerri Kenney, Thomas Lennon"
Daddy's Little Girls,2007,"Gabrielle Union, Louis Gossett Jr., Idris Elba, Tracee Ellis Ross"
The Last Sin Eater,2007,"Henry Thomas, Soren Fulton, Louise Fletcher, Liana Liberato"
Ex Drummer,2007,"Gunter Lamoot, Norman Baert, Sam Louwyck, Dries Vanhegen"
Viva,2007,"Anna Biller, Jared Sanford, Chad England, Bridget Brno"
Smiley Face,2007,"Roscoe Lee Browne, John Krasinski, Anna Faris, Adam Brody"
