title,year,stars
What We Become,2015,"Benjamin Engell, Troels Lyby, Mille Dinesen, Ella Solgaard"
Darling,2015,"Lauren Ashley Carter, Sean Young, Brian Morvant, Larry Fessenden"
Captive,2015,"Kate Mara, David Oyelowo, Mimi Rogers, Michael Kenneth Williams"
Évolution,2015,"Marta Blanc, Max Brebant, Roxane Duran, Julie-Marie Parmentier"
The Blackcoat's Daughter,2015,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar"
Hardcore Henry,2015,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky"
Baskin,2015,"Mehmet Cerrahoglu, Görkem Kasal, Ergun Kuyucu, Muharrem Bayrak"
Eye in the Sky,2015,"Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi"
Tanna,2015,"Mungau Dain, Marie Wawa, Marceline Rofit, Charlie Kahla"
Man Down,2015,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara"
Ma,2015,"Kentucker Audley, Matt Lauria, Andrew Pastides, Michelle Perks"
Black Mass,2015,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton"
Solace,2015,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell"
The Visit,2015,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie"
No Escape,2015,"Lake Bell, Pierce Brosnan, Owen Wilson, Thanawut Ketsaro"
The Transporter Refueled,2015,"Ed Skrein, Loan Chabanol, Ray Stevenson, Lenn Kudrjawizki"
American Ultra,2015,"Jesse Eisenberg, Kristen Stewart, Connie Britton, John Leguizamo"
Bite,2015,"Elma Begovic, Annette Wozniak, Denise Yuen, Jordan Gray"
Wild City,2015,"Louis Koo, Shawn Yue, Liya Tong, Hsiao-chuan Chang"
13 Cameras,2015,"Neville Archambault, Sean Carrigan, PJ McCabe, Brianne Moncrief"
Momentum,2015,"Olga Kurylenko, James Purefoy, Morgan Freeman, Jenna Saras"
Self/less,2015,"Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley"
Intruders,2015,"Rory Culkin, Leticia Jimenez, Jack Kesy, Timothy McKinney"
Already Tomorrow in Hong Kong,2015,"Jamie Chung, Bryan Greenberg, Richard Ng, Sarah Lian"
Women He's Undressed,2015,"Ann Roth, Jane Fonda, Marc Eliot, Eric Sherman"
Me Him Her,2015,"Dustin Milligan, Luke Bracey, Emily Meade, Kyle Bornheimer"
Macbeth,2015,"Michael Fassbender, Marion Cotillard, Jack Madigan, Frank Madigan"
The Human Centipede III (Final Sequence),2015,"Dieter Laser, Laurence R. Harvey, Eric Roberts, Robert LaSardo"
Survivor,2015,"Milla Jovovich, Pierce Brosnan, Dylan McDermott, Paddy Wallace"
Sicario,2015,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal"
Green Room,2015,"Anton Yelchin, Imogen Poots, Alia Shawkat, Patrick Stewart"
Our Little Sister,2015,"Haruka Ayase, Masami Nagasawa, Kaho, Suzu Hirose"
MI-5,2015,"Kit Harington, Peter Firth, Jennifer Ehle, Michael Wildman"
Beautiful Something,2015,"Brian Sheppard, Zack Ryan, Colman Domingo, John Lescault"
