title,year,director,stars
Snow Blind,2006,Christopher J. Scott,"Tina Basich, Molly Aguirre, Kier Dillon, Tricia Byrnes"
Akeelah and the Bee,2006,Doug Atchison,"Keke Palmer, Laurence Fishburne, Angela Bassett, Curtis Armstrong"
The Life of Reilly,2006,Frank L. Anderson,Charles Nelson Reilly
The Science of Sleep,2006,Michel Gondry,"Charlotte Gainsbourg, Gael García Bernal, Alain Chabat, Miou-Miou"
A Soap,2006,Pernille Fischer Christensen,"David Dencik, Trine Dyrholm, Elsebeth Steentoft, Frank Thiel"
Mad Cowgirl,2006,Gregory Hatanaka,"Sarah Lassez, Vic Chao, James Duval, Devon Odessa"
The Foot Fist Way,2006,Jody Hill,"Spencer Moreno, Ben Best, Danny McBride, Mary Jane Bostic"
Cut Sleeve Boys,2006,Ray Yeung,"Gareth Rhys Davis, Chowee Leow, Neil Collie, Steven Lim"
The Sasquatch Gang,2006,Tim Skousen,"Justin Long, Jeremy Sumpter, Addie Land, Joey Kern"
Steel City,2006,Brian Jun,"Marcus Atkins, Raymond J. Barry, Kristian Best, Jamie Anne Allman"
Wild Tigers I Have Known,2006,Cam Archer,"Patrick White, Max Paradise, Malcolm Stumpf, Fairuza Balk"
Cocaine Angel,2006,Michael Tully,"Adonis Boyd, Jamie Dawson, Richard Dawson, Brenda Benfield"
Alpha Dog,2006,Nick Cassavetes,"Justin Timberlake, Emile Hirsch, Anton Yelchin, Bruce Willis"
This Film Is Not Yet Rated,2006,Kirby Dick,"Atom Egoyan, Darren Aronofsky, Kirby Dick, Kimberly Peirce"
Sherrybaby,2006,Laurie Collyer,"Sam Bottoms, Maggie Gyllenhaal, Ryan Simpkins, Michelle Hurst"
An Inconvenient Truth,2006,Davis Guggenheim,"George Bush, Billy West, George W. Bush, Al Gore"
An Unreasonable Man,2006,Henriette Mantel,"Eric Alterman, Pat Buchanan, Howard Zinn, Ralph Nader"
Half Nelson,2006,Ryan Fleck,"Jeff Lima, Ryan Gosling, Shareeka Epps, Anthony Mackie"
Right at Your Door,2006,Chris Gorak,"Scotty Noyd Jr., Tony Perez, Mary McCormack, Rory Cochrane"
The Illusionist,2006,Neil Burger,"Paul Giamatti, Jessica Biel, Edward Norton, Rufus Sewell"
Iraq in Fragments,2006,James Longley,"Mohammed Haithem, Muqtada al-Sadr, George W. Bush, Suleiman Mahmoud"
Little Miss Sunshine,2006,Jonathan Dayton,"Toni Collette, Abigail Breslin, Steve Carell, Greg Kinnear"
Friends with Money,2006,Nicole Holofcener,"Jennifer Aniston, Catherine Keener, Joan Cusack, Frances McDormand"
Day Watch,2006,Timur Bekmambetov,"Konstantin Khabenskiy, Mariya Poroshina, Galina Tyunina, Vladimir Menshov"
Hoodwinked!,2005,Cory Edwards,"Jim Belushi, Glenn Close, Anne Hathaway, Patrick Warburton"
Angels with Angles,2005,Scott Edmund Lane,"Julie Carmen, Scott Edmund Lane, Frank Gorshin, David Proval"
Syriana,2005,Stephen Gaghan,"George Clooney, Kayvan Novak, Amanda Peet, Matt Damon"
Get Rich or Die Tryin',2005,Jim Sheridan,"Joy Bryant, Adewale Akinnuoye-Agbaje, Omar Benson Miller, 50 Cent"
Zerophilia,2005,Martin Curland,"Alison Folland, Kyle Schmid, Dustin Seavey, Taylor Handley"
BloodRayne,2005,Uwe Boll,"Ben Kingsley, Michael Madsen, Kristanna Loken, Michelle Rodriguez"
Sweet Land,2005,Ali Selim,"Elizabeth Reaser, Patrick Heusinger, Lois Smith, Stephen Pelinski"
Waiting...,2005,Rob McKittrick,"Ryan Reynolds, John Francis Daley, Anna Faris, Justin Long"
Domino,2005,Tony Scott,"Mickey Rourke, Keira Knightley, Edgar Ramírez, Delroy Lindo"
Dangerous Men,2005,Jahangir Salehi,"Roya Saghafy, Michael Gradilone, Melody Wiggins, Michael Hurt"
Just Like Heaven,2005,Mark Waters,"Reese Witherspoon, Mark Ruffalo, Dina Spybey-Waters, Donal Logue"
Cry Wolf,2005,Jeff Wadlow,"Lindy Booth, Erica Yates, Jared Padalecki, Julian Morris"
American Gun,2005,Aric Avelino,"Forest Whitaker, Linda Cardellini, Marcia Gay Harden, Donald Sutherland"
Whole New Thing,2005,Amnon Buchbinder,"Daniel MacIvor, Robert Joy, Rebecca Jenkins, Aaron Webber"
The Proposition,2005,John Hillcoat,"Guy Pearce, Ray Winstone, Richard Wilson, Emily Watson"
The Quiet,2005,Jamie Babbit,"Edie Falco, Elisha Cuthbert, Martin Donovan, Camilla Belle"
Wassup Rockers,2005,Larry Clark,"Francisco Pedrasa, Jonathan Velasquez, Usvaldo Panameno, Milton Velasquez"
Harsh Times,2005,David Ayer,"Freddy Rodríguez, Eva Longoria, Christian Bale, Chaka Forman"
Winter Passing,2005,Adam Rapp,"Ed Harris, Will Ferrell, Zooey Deschanel, Darrell Larson"
Thank You for Smoking,2005,Jason Reitman,"Maria Bello, Cameron Bright, Aaron Eckhart, Joan Lunden"
Tideland,2005,Terry Gilliam,"Jennifer Tilly, Janet McTeer, Jeff Bridges, Jodelle Ferland"
Edmond,2005,Stuart Gordon,"Frances Bay, Joe Mantegna, William H. Macy, Julia Stiles"
A Sound of Thunder,2005,Peter Hyams,"Ben Kingsley, Edward Burns, Armin Rohde, Catherine McCormack"
Lustre,2005,Art Jones,"Victor Argo, Gordon Joseph Weiss, Jordan Lage, John Hoyt"
Chaos,2005,David DeFalco,"Sage Stallone, Kevin Gage, Kelly K.C. Quann, Maya Barovich"
The Zodiac,2005,Alexander Bulkley,"Rory Culkin, William Mapother, Justin Chambers, Robin Tunney"
The Devil's Rejects,2005,Rob Zombie,"Bill Moseley, William Forsythe, Sid Haig, Sheri Moon Zombie"
Little Fish,2005,Rowan Woods,"Martin Henderson, Sam Neill, Cate Blanchett, Hugo Weaving"
C.R.A.Z.Y.,2005,Jean-Marc Vallée,"Danielle Proulx, Émile Vallée, Michel Côté, Marc-André Grondin"
The King,2005,James Marsh,"Derek Alvarado, William Hurt, Laura Harring, Gael García Bernal"
Be with Me,2005,Eric Khoo,"Chiew Sung Ching, Lawrence Yong, Theresa Poh Lin Chan, Leong Kooi Eng"
Monster-in-Law,2005,Robert Luketic,"Jane Fonda, Jennifer Lopez, Michael Vartan, Wanda Sykes"
Red Doors,2005,Georgia Lee,"Jacqueline Kim, Freda Foh Shen, Tzi Ma, Elaine Kao"
The Game of Their Lives,2005,David Anspaugh,"Gavin Rossdale, Wes Bentley, Jay Rodan, Gerard Butler"
When Do We Eat?,2005,Salvador Litvak,"Michael Lerner, Shiri Appleby, Jack Klugman, Lesley Ann Warren"
Race You to the Bottom,2005,Russell Brown,"Kristin Hensley, Ruben Dario, Cole Williams, Jer Adrianne Lelliott"
Sin City,2005,Frank Miller,"Bruce Willis, Mickey Rourke, Jessica Alba, Clive Owen"
The Roost,2005,Ti West,"Sean Reid, Tom Noonan, Karl Jacob, Vanessa Horneff"
Occupation: Dreamland,2005,Ian Olds,"Matthew Bacik, Chris Corcione, Patrick Napoli, Eric Forbes"
The Descent,2005,Neil Marshall,"Alex Reid, Saskia Mulder, Natalie Mendoza, Shauna Macdonald"
Nowhere Man,2005,Tim McCann,"Frank Olivier, Debbie Rochon, Michael Rodrick, Lloyd Kaufman"
Home,2005,Matt Zoller Seitz,"Jason Liebrecht, Nicol Zanzarella, T. Stephen Neave, Erin Stacey Visslailli"
My Big Fat Independent Movie,2005,Philip Zlotorynski,"Eric Hoffman, Neil Barton, Darren Keefe Reiher, Paget Brewster"
We Jam Econo: The Story of the Minutemen,2005,Tim Irwin,"Milo Aukerman, Scott Becker, Kevin Barrett, Joe Baiza"
Cursed,2005,Wes Craven,"Portia de Rossi, Mya, Christina Ricci, Jesse Eisenberg"
Invisible,2005,Konstantin Bojanov,"Rumen Proshev, Alexsandar Bunovski, Kamen Petrov, Stanislav Pavlov"
Bigger Than the Sky,2005,Al Corley,"John Corbett, Amy Smart, Marcus Thomas, Sean Astin"
That Man: Peter Berlin,2005,Jim Tushinski,"Peter Berlin, Armistead Maupin, Jack Wrangler, John Waters"
Transamerica,2005,Duncan Tucker,"Fionnula Flanagan, Kevin Zegers, Andrea James, Felicity Huffman"
The Amateurs,2005,Michael Traeger,"Tim Blake Nelson, Ted Danson, Jeff Bridges, Joe Pantoliano"
The Puffy Chair,2005,Jay Duplass,"Rhett Wilkins, Katie Aselton, Julie Fischer, Mark Duplass"
Hard Candy,2005,David Slade,"Patrick Wilson, Odessa Rae, Ellen Page, Sandra Oh"
Steal Me,2005,Melissa Painter,"Hunter Parrish, John Terry, Cara Seymour, Danny Alexander"
Wolf Creek,2005,Greg McLean,"John Jarratt, Nathan Phillips, Cassandra Magrath, Kestie Morassi"
Me and You and Everyone We Know,2005,Miranda July,"John Hawkes, Miles Thompson, Brandon Ratcliff, Miranda July"
Reel Paradise,2005,Steve James,"Wyatt Pierson, Georgia Pierson, John Pierson, Janet Pierson"
Brick,2005,Rian Johnson,"Emilie de Ravin, Meagan Good, Joseph Gordon-Levitt, Lukas Haas"
The Dying Gaul,2005,Craig Lucas,"Ryan Miller, Peter Sarsgaard, Campbell Scott, Patricia Clarkson"
Film Geek,2005,James Westby,"Dennis Adkins, Melik Malkasian, Ritah Parrish, John Breen"
Alone in the Dark,2005,Uwe Boll,"Frank C. Turner, Tara Reid, Stephen Dorff, Christian Slater"
I Am a Sex Addict,2005,Caveh Zahedi,"Rebecca Lord, Caveh Zahedi, Christoff Colas, Lindsey Tjian"
The Girl from Monday,2005,Hal Hartley,"Leo Fitzpatrick, Tatiana Abracos, Sabrina Lloyd, Bill Sage"
The Chumscrubber,2005,Arie Posin,"Rory Culkin, Allison Janney, Jamie Bell, Glenn Close"
The Motel,2005,Michael Kang,"Jeffrey Chyau, Jade Wu, Samantha Futerman, Sung Kang"
The Squid and the Whale,2005,Noah Baumbach,"Owen Kline, Laura Linney, Jesse Eisenberg, Jeff Daniels"
Four Eyed Monsters,2005,Susan Buice,"Susan Buice, Julia Ann Ames, Arin Crumley, Lindsey Andersen"
Thumbsucker,2005,Mike Mills,"Keanu Reeves, ""Vincent DOnofrio"", Tilda Swinton, Lou Taylor Pucci"
Ellie Parker,2005,Scott Coffey,"Jennifer Syme, Greg Freitas, Naomi Watts, Gaye Pope"
Are We There Yet?,2005,Brian Levant,"Nia Long, Philip Bolden, Aleisha Allen, Ice Cube"
Duane Hopwood,2005,Matt Mulhern,"Bill Buell, Daisy Ang, Dick Cavett, Rachel Covey"
Spanglish,2004,James L. Brooks,"Adam Sandler, Paz Vega, Téa Leoni, Cloris Leachman"
Closer,2004,Mike Nichols,"Julia Roberts, Jude Law, Clive Owen, Natalie Portman"
Ethan Mao,2004,Quentin Lee,"Raymond Ma, Jun Hee Lee, Kevin Kleinberg, Julia Nickson"
Rooms for Tourists,2004,Adrián García Bogliano,"Lucrecia Federico, Elena Siritto, Mariela Mujica, Jimena Krouco"
The Tollbooth,2004,Debra Kirschner,"Ronald Guttman, Marla Sokoloff, Idina Menzel, Tovah Feldshuh"
Guys and Balls,2004,Sherry Hormann,"Eileen Eilender, Dietmar Bär, Lisa Maria Potthoff, Maximilian Brückner"
The Forgotten,2004,Joseph Ruben,"Matthew Pleszewicz, Dominic West, Christopher Kovaleski, Julianne Moore"
Casuistry: The Art of Killing a Cat,2004,Zev Asher,"Matthew Kaczorowski, Jubal Brown, Daniel Borins, Christie Blatchford"
Kung Fu Hustle,2004,Stephen Chow,"Qiu Yuen, Stephen Chow, Wah Yuen, Siu-Lung Leung"
Sideways,2004,Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh"
Hotel Rwanda,2004,Terry George,"Sophie Okonedo, Xolani Mali, Joaquin Phoenix, Don Cheadle"
Oyster Farmer,2004,Anna Reeves,"Jim Norton, ""Alex OLoughlin"", David Field, Diana Glenn"
Crash,2004,Paul Haggis,"Thandie Newton, Sandra Bullock, Karina Arroyave, Don Cheadle"
3-Iron,2004,Ki-duk Kim,"Hee Jae, Jeong-ho Choi, Hyuk-ho Kwon, Seung-Yun Lee"
Kinsey,2004,Bill Condon,"""Chris ODonnell"", Liam Neeson, Laura Linney, Peter Sarsgaard"
Keane,2004,Lodge Kerrigan,"Damian Lewis, Amy Ryan, Abigail Breslin, Liza Colón-Zayas"
Mysterious Skin,2004,Gregg Araki,"Brady Corbet, Elisabeth Shue, Chase Ellison, Joseph Gordon-Levitt"
Palindromes,2004,Todd Solondz,"Jennifer Jason Leigh, Matthew Faber, Stephen Adly Guirgis, Ellen Barkin"
Silver City,2004,John Sayles,"Billy Zane, Chris Cooper, Thora Birch, Maria Bello"
Suspect Zero,2004,E. Elias Merhige,"Ben Kingsley, Harry Lennix, Carrie-Anne Moss, Aaron Eckhart"
Dead Man's Shoes,2004,Shane Meadows,"Paddy Considine, Toby Kebbell, Stuart Wolfenden, Gary Stretch"
Collateral,2004,Michael Mann,"Mark Ruffalo, Jada Pinkett Smith, Tom Cruise, Jamie Foxx"
Slow Jam King,2004,Steven E. Mallorca,"D.K. Bowser, Whitney Melton, Ron Domingo, Rona Figueroa"
Thunderbirds,2004,Jonathan Frakes,"Ben Kingsley, Bill Paxton, Brady Corbet, Anthony Edwards"
Girl Play,2004,Lee Friedlander,"Dom DeLuise, Robin Greenspan, Mink Stole, Lacie Harmon"
L.A. Twister,2004,Sven Pape,"Tony Daly, Manouschka Guerrier, Jennifer Aspen, Zack Ward"
Night Watch,2004,Timur Bekmambetov,"Konstantin Khabenskiy, Mariya Poroshina, Valeriy Zolotukhin, Vladimir Menshov"
Fighting Tommy Riley,2004,Eddie O'Flaherty,"Christina Chambers, J.P. Davis, Diane Tayler, Eddie Jones"
Slutty Summer,2004,Casper Andreas,"Jeffrey Christopher Todd, Christos Klapsis, Casper Andreas, Virginia Bryan"
When Will I Be Loved,2004,James Toback,"Neve Campbell, Dominic Chianese, Frederick Weller, Ashley Shelton"
Somersault,2004,Cate Shortland,"Abbie Cornish, Sam Worthington, Damian de Montemas, Lynette Curran"
Fahrenheit 9/11,2004,Michael Moore,"Michael Moore, Stevie Wonder, Ben Affleck, George W. Bush"
Z Channel: A Magnificent Obsession,2004,Xan Cassavetes,"Robert Altman, C.L. Batten, Vera Carlisle Anderson, Jacqueline Bisset"
Off the Lip,2004,Robert Mickelson,"Adam Scott, Marguerite Moreau, Mark Fite, Mackenzie Astin"
Tony & Tina's Wedding,2004,Roger Paradiso,"Dean Edwards, Krista Allen, Joey McIntyre, Mila Kunis"
Naked Fame,2004,Christopher Long,"Colton Ford, Donna Mears, Chi Chi LaRue, Ken Soukesian"
Bobby Jones: Stroke of Genius,2004,Rowdy Herrington,"Claire Forlani, Jim Caviezel, Malcolm McDowell, Jeremy Northam"
Hair High,2004,Bill Plympton,"Dermot Mulroney, Sarah Silverman, ""Beverly DAngelo"", Eric Gilliland"
The Life: What's Your Pleasure?,2004,María Lidón,"Denise Richards, Joaquim de Almeida, María Jiménez, Daryl Hannah"
Fakers,2004,Richard Janes,"Kate Ashfield, Tony Haygarth, Matthew Rhys, Tom Chambers"
Duck Season,2004,Fernando Eimbcke,"Enrique Arreola, Daniel Miranda, Diego Cataño, Danny Perea"
Shaun of the Dead,2004,Edgar Wright,"Nick Frost, Lucy Davis, Kate Ashfield, Simon Pegg"
Clean,2004,Olivier Assayas,"Nick Nolte, Maggie Cheung, Jeanne Balibar, Béatrice Dalle"
Dead & Breakfast,2004,Matthew Leutwyler,"Oz Perkins, Jeremy Sisto, Bianca Lawson, Erik Palladino"
Dorian Blues,2004,Tennyson Bardwell,"Michael McMillian, Lea Coco, Mo Quigley, Steve Fletcher"
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Kate Winslet, Tom Wilkinson, Gerry Robert Byrne, Jim Carrey"
The Passion of the Christ,2004,Mel Gibson,"Jim Caviezel, Maia Morgenstern, Monica Bellucci, Christo Jivkov"
Welcome to Mooseport,2004,Donald Petrie,"Maura Tierney, Gene Hackman, Marcia Gay Harden, Ray Romano"
Eating Out,2004,Q. Allan Brocka,"Jim Verraros, Scott Lunsford, Rebekah Kochan, Emily Brooke Hands"
The Final Cut,2004,Omar Naim,"Mira Sorvino, Jim Caviezel, Robin Williams, Mimi Kuzyk"
Before Sunset,2004,Richard Linklater,"Louise Lemoine Torrès, Vernon Dobtcheff, Julie Delpy, Ethan Hawke"
After Midnight,2004,Davide Ferrario,"Francesca Picozza, Francesca Inaudi, Fabio Troiano, Giorgio Pasotti"
Woman Thou Art Loosed,2004,Michael Schultz,"Kimberly Elise, T.D. Jakes, Loretta Devine, Michael Boatman"
Dandelion,2004,Mark Milgard,"Mare Winningham, Vincent Kartheiser, Arliss Howard, Taryn Manning"
Saved!,2004,Brian Dannelly,"Patrick Fugit, Mandy Moore, Macaulay Culkin, Jena Malone"
Saw,2004,James Wan,"Danny Glover, Leigh Whannell, Cary Elwes, Ken Leung"
The Machinist,2004,Brad Anderson,"Jennifer Jason Leigh, John Sharian, Aitana Sánchez-Gijón, Christian Bale"
Super Size Me,2004,Morgan Spurlock,"Daryl Isaacs, Dania Abu-Rmaileh, Morgan Spurlock, Chemeeka Walker"
Napoleon Dynamite,2004,Jared Hess,"Aaron Ruell, Jon Gries, Jon Heder, Efren Ramirez"
Primer,2004,Shane Carruth,"Shane Carruth, David Sullivan, Anand Upadhyaya, Casey Gooden"
Mean Creek,2004,Jacob Estes,"Rory Culkin, Scott Mechlowicz, Ryan Kelley, Trevor Morgan"
Plagues and Pleasures on the Salton Sea,2004,Chris Metzler,"Norm Niver, John Waters, Sonny Bono, Petre Melvin"
The Card Player,2004,Dario Argento,"Stefania Rocca, Adalberto Maria Merli, Silvio Muccino, Liam Cunningham"
Georges Bataille's Story of the Eye,2003,Andrew Repasky McElhinney,"Sean Timothy Sexton, Kevin Mitchell Martin, Querelle Haynes, Melissa Elizabeth Forgione"
Kontroll,2003,Nimród Antal,"Zoltán Mucsi, Csaba Pindroch, Sándor Csányi, Eszter Balla"
