title,year,director,stars
Last Train Home,2009,Lixin Fan,"Yang Zhang, Suqin Chen, Changhua Zhang, Qin Zhang"
House of Boys,2009,Jean-Claude Schlim,"Harry Ferrier, Loïc Peckels, Michael N. Kuehl, Layke Anderson"
Kings of Pastry,2009,Chris Hegedus,"Philippe Rigollot, Jacquy Pfeiffer, Regis Lazard, Rachel Beaudry"
To Save a Life,2009,Brian Baugh,"Deja Kreutzberg, Steven Crowder, Joshua Weigel, Randy Wayne"
Pandorum,2009,Christian Alvart,"Antje Traue, Cam Gigandet, Dennis Quaid, Ben Foster"
Gentlemen Broncos,2009,Jared Hess,"Mike White, John Baker, Michael Angarano, Jemaine Clement"
Solomon Kane,2009,M.J. Bassett,"James Purefoy, Pete Postlethwaite, Max von Sydow, Rachel Hurd-Wood"
Bitch Slap,2009,Rick Jacobson,"Michael Hurst, Julia Voth, America Olivo, Erin Cummings"
"Hugh Hefner: Playboy, Activist and Rebel",2009,Brigitte Berman,"Count Basie, Joan Baez, Larry Adler, Bobbie Arnstein"
Trash Humpers,2009,Harmony Korine,"Brian Kotzur, Harmony Korine, Travis Nicholson, Rachel Korine"
Harry Brown,2009,Daniel Barber,"David Bradley, Charlie Creed-Miles, Emily Mortimer, Michael Caine"
The Good Heart,2009,Dagur Kári,"Paul Dano, Bill Buell, Boði, Brian Cox"
Jennifer's Body,2009,Karyn Kusama,"Adam Brody, Amanda Seyfried, Megan Fox, Johnny Simmons"
The Human Centipede (First Sequence),2009,Tom Six,"Dieter Laser, Ashley C. Williams, Akihiro Kitamura, Ashlynn Yennie"
"The Goods: Live Hard, Sell Hard",2009,Neal Brennan,"Ving Rhames, Jeremy Piven, James Brolin, David Koechner"
The Collector,2009,Marcus Dunstan,"William Prael, Juan Fernández, Josh Stewart, Andrea Roth"
Dare,2009,Adam Salky,"Emmy Rossum, Ashley Springer, Zach Gilford, Cady Huffman"
Irene in Time,2009,Henry Jaglom,"Victoria Tennant, Tanna Frederick, Andrea Marcovicci, Karen Black"
Paper Man,2009,Kieran Mulroney,"Lisa Kudrow, Ryan Reynolds, Emma Stone, Jeff Daniels"
Impolex,2009,Alex Ross Perry,"Ben Shapiro, Kate Lyn Sheil, Bruno Meyrick Jones, ""Riley OBryan"""
Eyes Wide Open,2009,Haim Tabakman,"Tzahi Grad, Zohar Shtrauss, Ran Danker, Tinkerbell"
Daddy Longlegs,2009,Benny Safdie,"Sage Ranaldo, Alex Greenblatt, Frey Ranaldo, Ronald Bronstein"
Spring Fever,2009,Ye Lou,"Zhuo Tan, Hao Qin, Wei Wu, Sicheng Chen"
The Cove,2009,Louie Psihoyos,"Hardy Jones, ""Richard OBarry"", Michael Illiff, Louie Psihoyos"
Serious Moonlight,2009,Cheryl Hines,"Timothy Hutton, Justin Long, Kristen Bell, Meg Ryan"
City Island,2009,Raymond De Felitta,"Steven Strait, Emily Mortimer, Andy Garcia, Julianna Margulies"
Winnebago Man,2009,Ben Steinbauer,"Keith Gordon, Nick Prueher, Ben Steinbauer, Jack Rebney"
The Girl with the Dragon Tattoo,2009,Niels Arden Oplev,"Ewa Fröling, Noomi Rapace, Lena Endre, Michael Nyqvist"
Empire of Silver,2009,Christina Yao,"Lei Hao, Jennifer Tilly, Aaron Kwok, Tielin Zhang"
Happy Tears,2009,Mitchell Lichtenstein,"Demi Moore, Rip Torn, Parker Posey, Ellen Barkin"
Friday the 13th,2009,Marcus Nispel,"Danielle Panabaker, Amanda Righetti, Jared Padalecki, Derek Mears"
The Exploding Girl,2009,Bradley Rust Gray,"Maryann Urbano, Zoe Kazan, Mark Rendall, Hunter Canning"
Paper Heart,2009,Nicholas Jasenovec,"Gill Summers, Michael Cera, Jake Johnson, Charlyne Yi"
Moon,2009,Duncan Jones,"Kevin Spacey, Dominique McElligott, Sam Rockwell, Rosie Shaw"
Adam,2009,Max Mayer,"Hugh Dancy, Rose Byrne, Amy Irving, Peter Gallagher"
Peter and Vandy,2009,Jay DiPietro,"Tracie Thoms, Jess Weixler, Jason Ritter, Jesse L. Martin"
Rosencrantz and Guildenstern Are Undead,2009,Jordan Galland,"John Ventimiglia, Jake Hoffman, Kris Lemche, Devon Aoki"
World's Greatest Dad,2009,Bobcat Goldthwait,"Naomi Glick, Morgan Murphy, Robin Williams, Daryl Sabara"
Big Fan,2009,Robert Siegel,"Michael Rapaport, Marcia Jean Kurtz, Patton Oswalt, Kevin Corrigan"
The Vicious Kind,2009,Lee Toland Krieger,"Adam Scott, Alex Frost, J.K. Simmons, Brittany Snow"
You Wont Miss Me,2009,Ry Russo-Young,"Stella Schnabel, Zachary Tucker, ""Simon OConnor"", Noah Kimmerling"
Precious,2009,Lee Daniels,"""MoNique"", Gabourey Sidibe, Paula Patton, Mariah Carey"
Bronson,2008,Nicolas Winding Refn,"Kelly Adams, Tom Hardy, Katy Barker, Luing Andrews"
Management,2008,Stephen Belber,"Jennifer Aniston, Margo Martindale, Woody Harrelson, Steve Zahn"
Youssou Ndour: I Bring What I Love,2008,Elizabeth Chai Vasarhelyi,"Kabou Guèye, Peter Gabriel, ""Youssou NDour"", Moustapha Mbaye"
The Hurt Locker,2008,Kathryn Bigelow,"Jeremy Renner, Guy Pearce, Brian Geraghty, Anthony Mackie"
Prodigal Sons,2008,Kimberly Reed,"Kimberly Reed, Carol McKerrow, Marc McKerrow, Claire Jones"
Prince of Broadway,2008,Sean Baker,"Aiden Noesi, Prince Adu, Keyali Mayaga, Karren Karagulian"
The Blue Tooth Virgin,2008,Russell Brown,"Tom Gilroy, Austin Peck, Bryce Johnson, Roma Maffia"
JCVD,2008,Mabrouk El Mechri,"Rock Chen, Hervé Sogne, Jean-Claude Van Damme, Valérie Bodson"
Garden Party,2008,Jason Freeland,"Erik Smith, Tierra Abbott, Vinessa Shaw, Christopher Allport"
The Strangers,2008,Bryan Bertino,"Liv Tyler, Alex Fisher, Scott Speedman, Gemma Ward"
"Synecdoche, New York",2008,Charlie Kaufman,"Samantha Morton, Michelle Williams, Philip Seymour Hoffman, Catherine Keener"
Wendy and Lucy,2008,Kelly Reichardt,"David Koppell, Max Clement, Michelle Williams, Lucy"
Afterschool,2008,Antonio Campos,"Emory Cohen, Jeremy Allen White, Michael Stuhlbarg, Ezra Miller"
Under Our Skin,2008,Andy Abrahams Wilson,"Sean Hughes, Jordan Fisher Smith, Mandy Hughes, Dana Walsh"
Fix,2008,Tao Ruspoli,"Tao Ruspoli, Olivia Wilde, Megalyn Echikunwoke, Shawn Andrews"
Touching Home,2008,Logan Miller,"Ed Harris, Brad Dourif, Evan Jones, Robert Forster"
Expelled: No Intelligence Allowed,2008,Nathan Frankowski,"Ben Stein, Hector Avalos, Lili Asvar, Peter Atkins"
Delgo,2008,Marc F. Adler,"Anne Bancroft, Freddie Prinze Jr., Chris Kattan, Val Kilmer"
Meet the Browns,2008,Tyler Perry,"Tamela J. Mann, Angela Bassett, David Mann, Tyler Perry"
The Promotion,2008,Steve Conrad,"Chris Conrad, Seann William Scott, Rick Gonzalez, John C. Reilly"
Humboldt County,2008,Darren Grodsky,"Vicky Monroe, Jeremy Strong, Fairuza Balk, Peter Bogdanovich"
Looking for Palladin,2008,Andrzej Krakowski,"Talia Shire, Pedro Armendáriz Jr., Ben Gazzara, David Moscow"
I've Loved You So Long,2008,Philippe Claudel,"Laurent Grévill, Elsa Zylberstein, Serge Hazanavicius, Kristin Scott Thomas"
Death in Love,2008,Boaz Yakin,"Josh Lucas, Morena Baccarin, Lukas Haas, Jacqueline Bisset"
Baghead,2008,Jay Duplass,"Ross Partridge, Elise Muller, Greta Gerwig, Steve Zissis"
Sleepwalking,2008,Bill Maher,"AnnaSophia Robb, Charlize Theron, Deborra-Lee Furness, Nick Stahl"
Adventures of Power,2008,Ari Gold,"Michael McKean, Ari Gold, Shoshannah Stern, Jane Lynch"
Smart People,2008,Noam Murro,"Thomas Haden Church, Sarah Jessica Parker, Ellen Page, Dennis Quaid"
Bigger Stronger Faster*,2008,Chris Bell,"Chris Bell, Hank Aaron, Mike Bell, Mark Bell"
The Wackness,2008,Jonathan Levine,"Ben Kingsley, Famke Janssen, Olivia Thirlby, Josh Peck"
Sunshine Cleaning,2008,Christine Jeffs,"Jason Spevack, Alan Arkin, Amy Adams, Emily Blunt"
Unrelated,2007,Joanna Hogg,"Harry Kershaw, Kathryn Worth, Henry Lloyd-Hughes, Emma Hiddleston"
Mr. Magorium's Wonder Emporium,2007,Zach Helm,"Dustin Hoffman, Ted Ludzik, Jason Bateman, Natalie Portman"
Awake,2007,Joby Harold,"Lena Olin, Terrence Howard, Jessica Alba, Hayden Christensen"
P2,2007,Franck Khalfoun,"Rachel Nichols, Philip Akin, Wes Bentley, Simon Reynolds"
This Christmas,2007,Preston A. Whitmore II,"Regina King, Columbus Short, Idris Elba, Delroy Lindo"
Funny Games,2007,Michael Haneke,"Brady Corbet, Naomi Watts, Michael Pitt, Tim Roth"
Paranormal Activity,2007,Oren Peli,"Mark Fredrichs, Amber Armstrong, Katie Featherston, Micah Sloat"
Year of the Fish,2007,David Kaplan,"Randall Duk Kim, Tsai Chin, Ken Leung, An Nguyen"
Up the Yangtze,2007,Yung Chang,"Jerry Bo Yu Chen, Campbell Ping He, Cindy Shui Yu"
Everybody Wants to Be Italian,2007,Jason Todd Ipson,"John Kapelos, Cerina Vincent, Jay Jablonski, John Enos III"
Death Defying Acts,2007,Gillian Armstrong,"Saoirse Ronan, Guy Pearce, Catherine Zeta-Jones, Timothy Spall"
Battle for Haditha,2007,Nick Broomfield,"Nathan De La Cruz, Matthew Knoll, Elliot Ruiz, Eric Mehalacopoulos"
The Babysitters,2007,David Ross,"Paul Borghese, Anthony Cirillo, Lauren Birkell, Chira Cassel"
Honeydripper,2007,John Sayles,"Yaya DaCosta, Danny Glover, LisaGay Hamilton, Charles S. Dutton"
Diary of the Dead,2007,George A. Romero,"Shawn Roberts, Todd Schroeder, Michelle Morgan, Joshua Close"
The Visitor,2007,Tom McCarthy,"Haaz Sleiman, Danai Gurira, Hiam Abbass, Richard Jenkins"
Then She Found Me,2007,Helen Hunt,"Matthew Broderick, Bette Midler, Colin Firth, Helen Hunt"
Into the Wild,2007,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
Juno,2007,Jason Reitman,"Jason Bateman, Michael Cera, Ellen Page, Jennifer Garner"
Brick Lane,2007,Sarah Gavron,"Satish Kaushik, Tannishtha Chatterjee, Christopher Simpson, Naeema Begum"
Meat Loaf: In Search of Paradise,2007,Bruce David Klein,"John Miceli, Kasim Sulton, Meat Loaf, Mark Alexander"
"Lust, Caution",2007,Ang Lee,"Wei Tang, Leehom Wang, Joan Chen, Tony Chiu-Wai Leung"
Dragon Wars: D-War,2007,Hyung-rae Shim,"Robert Forster, Craig Robinson, Jason Behr, Amanda Brooks"
Frontier(s),2007,Xavier Gens,"Samuel Le Bihan, Patrick Ligardes, Aurélien Wiik, Karina Testa"
Remember the Daze,2007,Jess Bond,"Melonie Diaz, Katrina Begin, Charles Chen, Sunny Doench"
Holding Trevor,2007,Rosser Goodman,"Melissa Searing, Christopher Wyllie, Jay Brannan, Brent Gorski"
Choose Connor,2007,Lucas Elliot Eberl,"Darin Cooper, Chris Marquette, James Runcorn, Alex D. Linz"
Slipstream,2007,Anthony Hopkins,"Anthony Hopkins, Stella Hopkins, Christian Slater, John Turturro"
Persepolis,2007,Vincent Paronnaud,"Gena Rowlands, Chiara Mastroianni, Danielle Darrieux, Catherine Deneuve"
Chop Shop,2007,Ramin Bahrani,"Rob Sowulski, Isamar Gonzales, Alejandro Polanco, Carlos Zapata"
Paranoid Park,2007,Gus Van Sant,"Daniel Liu, Gabe Nevins, Taylor Momsen, Jake Miller"
The Air I Breathe,2007,Jieho Lee,"Sarah Michelle Gellar, Andy Garcia, Brendan Fraser, Kevin Bacon"
In Search of a Midnight Kiss,2007,Alex Holdridge,"Kathleen Luong, Sara Simmonds, Brian McGuire, Scoot McNairy"
The Education of Charlie Banks,2007,Fred Durst,"Eva Amurri Martino, Chris Marquette, Jason Ritter, Jesse Eisenberg"
Wind Chill,2007,Gregory Jacobs,"Ashton Holmes, Ned Bellamy, Martin Donovan, Emily Blunt"
Girls Rock!,2007,Arne Johnson,
The King of Kong: A Fistful of Quarters,2007,Seth Gordon,"Mark Alpiger, Steve Wiebe, Adam Wood, Billy Mitchell"
Sunshine,2007,Danny Boyle,"Cliff Curtis, Rose Byrne, Cillian Murphy, Chris Evans"
The Trouble with Romance,2007,Gene Rhee,"Josie Davis, Jordan Belfi, John Churchill, Portia Dawson"
Tortilla Heaven,2007,Judy Hecht Dumontet,"Olivia Hussey, Miguel Sandoval, George Lopez, José Zúñiga"
Hannah Takes the Stairs,2007,Joe Swanberg,"Kent Osborne, Andrew Bujalski, Greta Gerwig, Ry Russo-Young"
Certifiably Jonathan,2007,James David Pasternak,"Robin Williams, Howie Mandel, Jonathan Winters, Nora Dunn"
Captivity,2007,Roland Joffé,"Michael Harney, Pruitt Taylor Vince, Elisha Cuthbert, Daniel Gillies"
Reno 911! Miami,2007,Robert Ben Garant,"Lennie Loftin, Robert Ben Garant, Kerri Kenney, Thomas Lennon"
Daddy's Little Girls,2007,Tyler Perry,"Gabrielle Union, Louis Gossett Jr., Idris Elba, Tracee Ellis Ross"
The Last Sin Eater,2007,Michael Landon Jr.,"Henry Thomas, Soren Fulton, Louise Fletcher, Liana Liberato"
Ex Drummer,2007,Koen Mortier,"Gunter Lamoot, Norman Baert, Sam Louwyck, Dries Vanhegen"
Viva,2007,Anna Biller,"Anna Biller, Jared Sanford, Chad England, Bridget Brno"
Smiley Face,2007,Gregg Araki,"Roscoe Lee Browne, John Krasinski, Anna Faris, Adam Brody"
Once,2007,John Carney,"Hugh Walsh, Gerard Hendrick, Markéta Irglová, Glen Hansard"
Teeth,2007,Mitchell Lichtenstein,"Jess Weixler, Hale Appleman, Josh Pais, John Hensley"
Expired,2007,Cecilia Miniucchi,"Anthony John Crane, Ron King, Samantha Morton, Gina St. John"
