title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Louisiana on Tap,2016,,,,Documentary,Dylan McGovern,
Shan and Kate,2016,,,17.0,"Short, Comedy",Zoë Rae,"Aaron Healey, Nick McDougall, Jenna Owen, Brenton Parkes"
The Elder and the Wall,2016,,,6.0,"Short, Drama, Fantasy",Enrico Targetti,John F. Henry II
Son of a Preacher Man,2016,,,,"Short, Drama, Music",Michael Serrato,"Camilla Barrientos, Emma Bates, Michael Briggs, Cooper Briski"
After the Storm,2016,,,7.0,"Short, Fantasy",Felix Tobin,
The Lemon Tree,2016,,,11.0,"Short, Drama, Fantasy",Amanda Yam,"Ellie Rose Mattoon, Peggy Schott, Oscar Seung"
Breath of Life,2016,,,10.0,"Documentary, Short, Drama",Fiona Cleary,"Alan Campbell, Hélène Campbell, Manon Campbell, Dr. Tom Waddell"
La Secadora,2016,,,12.0,"Short, Drama",Gabriel Emmanuel Santana,"Robert Axelrod, Jearnest Corchado, Julián Garnik, Jacob Samson"
Poignant,2016,,,89.0,"Horror, Thriller",Jaspreet Kaur,"Laura Mitchell, Steve Baran, Eric Schweig, Gemma Martini"
Waiting,2016,,,6.0,"Short, Drama",Christian Peterson,"Elizabeth Ai-Quyen, Philippe Koo"
Crossroads,2016,,,12.0,"Short, Crime, Drama",Chris Baxter,"Cole Chambers, Reed Imhoff, Hercules Damien Johnson, Tj Martell"
Trashed After Death,2016,,,17.0,"Documentary, Short, Drama",Martin Ponferrada,"Martin Ponferrada, Diane Villavieja, Gilda Ponferrada, Aileen Astorga Avila Busante Asoy"
Indoctrination,2016,,,,"Short, Thriller",David Kenneth Sommerville,"David Kenneth Sommerville, Christopher Mann, Caroline G. Pleasant, Mary Miller"
Mercury Rising,2016,,,,"Animation, Short",Colm Dillane,
Indie Guys,2016,,,114.0,"Action, Comedy, Drama",Jarrod Crooks,"Brian Alberth, Jonathan Aldrich, Gabrielle Arrowsmith, Brian Barbour"
Mirrorball,2016,,,,Short,Enzo Nguyen,Azul Love
Park Hours,2016,,,,"Drama, Fantasy, Music",Manley,"James DeVine, Manley, Lisa McCabe"
Aerial Appalachia,2016,,TV-G,3.0,"Short, Action, Adventure",Jordan Nelson,
Axiom,2016,,,30.0,"Short, Drama",Alex Kamb,"Nic Caruccio, Frankie Sparco, Teagan Krieger, Neal Gyles"
From Here on Out,2016,,Not Rated,,"Short, Action, Comedy",Ryan Quinn Adams,"Petra Van De Hey, Aryn Rozelle, John Demakas, Corinne Meadors"
Rope,2016,,,9.0,"Short, Drama",Yeney Amaro,"Michael David Farrow, Hitoshi Inoue, Arian Khoroushi, Koji Niiya"
Food for Love,2016,,,12.0,"Short, Drama",Malik Amandla,"Nakia Jewel Williams, Denzel Green, Amari Burbridge"
Syncretic Noise,2016,,,,"Short, Fantasy, Thriller",Stephen Bullen,Jeffrey Salisbury
Todos Bailaban,2016,,,23.0,Short,Jurek Jablonicky,"Cristhian Lazo, José Zúñiga, Rashid Mejia Giannini, Jan Pavel Jablonicky"
Corruption II,2016,,PG-13,83.0,"Action, Drama, Thriller",Chris Gainsbury,"Michael L. Knight, Maria Pazouros, Karl Greenwood, Thom Gallagher"
Midnight Motel,2016,,,,"Short, Drama",Michael Tully,Jack Ingram
Being-for-others,2016,,,,"Short, Drama",Matthew Pearse,"Sable Williams, Alexandria Stevens, Sheryl Williams, Adam Berardi"
Doppelgänger II: The Red Box,2016,,,98.0,"Drama, Horror, Mystery",Gian Guido Zurli,"Clelia Cicero, Giustiniano Alpi, Luca Vitali, Luciano Pagetti"
Eternal Salvation,2016,,Not Rated,87.0,Drama,Reed Simonsen,"Bradley Snedeker, Darren Dupree Washington, Jessica Morris, Michael Klinger"
BearCity 3,2016,,,,"Comedy, Drama, Romance",Douglas Langway,"Brian Keane, Stephen Guarino, Gerald McCullouch, Gregory Gunter"
Meat Is Murder,2016,,,15.0,"Short, Horror",Shawn Tracy,
Pieces,2016,,,15.0,"Short, Horror, Thriller",Dan Sunley,"Kate Sandison, Louise Willoughby, Kristy Guest, Clinton Curtis Hudson"
The Cards Never Lie,2016,,,,Drama,Paul Cavallo,"Phoebe Plasto, Darren K. Hawkins, Sarah Foukas, Sean Michael"
Fair Play,2016,,,74.0,Drama,Sean Carlsen,"Pierson Carlsen, Scott Chiado, Jessica Cook, Isabelle Grace"
The Human Condition,2016,,,12.0,"Short, Drama",Chance Minter,"Peter J. Morton, Leslie Fleming-Mitchell, Jacqui Pugh, Brian Majestic"
Time to Go,2016,,,20.0,"Short, Drama",Limor Shmila,"Vered Feldman, Anat Kertes, Ami Weinberg, Yoram Yosephberg"
Unreal Estate,2016,,,93.0,"Drama, Mystery, Thriller",Nick Huntington,"Michael Chieffo, Bob Larkin, Brian Archer, Skye Aspen"
Variety,2016,,,,Comedy,Elisha Jachetti,"Elisha Jachetti, Alexander Vorobyev, Alayjah Watson, Claudia Perry"
Blue Apples,2016,,,17.0,"Short, Comedy",Harvey Puttock,"Jake Flowers, Nadine Bruder, Clynton Henry, Ed Chang"
Lake Runs Red,2016,,Not Rated,67.0,"Crime, Horror, Thriller",Jason Riesgraf,"Lauren Morris, Kaci Wegleitner, C.J. DeVaan, Helene Donohue"
Stardust,2016,,,21.0,"Short, Family, Fantasy",Wendy Alane Wright,"Savannah Liles, Wendy Alane Wright, Cassidey Fralin, Khalif Boyd"
Aberrant,2016,,,90.0,"Drama, Family, Romance",Bennett,"Justine Magnusson, Jack Quaid, Jared Wernick, Eve del Prado"
Picnic in Gaza,2016,,,117.0,"Drama, Mystery, Romance",Philippe Vartan Khazarian,"Elisa Lasowski, Virgile Bramly, Sharlit Deyzac, Mathieu Delarive"
Glamour Dolls,2016,,Not Rated,110.0,"Comedy, Drama",John De Luca,"John De Luca, Dominik Danielewicz, Ashlie Walker, Laurence Christopher"
The Lost,2016,,,80.0,"Horror, Thriller",Johan Neethling,"James Kermack, Elizabeth Arends, Richard Sanderson, Kane Bixley"
The Story of Jiupan River,2016,,,12.0,Short,,
Sometimes,2016,,,29.0,Short,Doulos Kun,
Bork,2016,,,,"Short, Action, Adventure",Kyle McComb,Radek Jonak
My City Rant,2016,,,,"Documentary, Short",Yazzaspazza,
The High Life,2016,,,10.0,"Short, Drama",Alexandria Kayy,"Jeffrey Curtis, Josh Kwiatkowski, Gemma Martini, Marguerite Royer"
Eve,2016,,,5.0,"Short, Drama",Marc Fersko,"Julia Montilla, Noel Cifuentes, Lucas McBath, Bevin Macutay"
The Admission Lady,2016,,,7.0,"Short, Comedy",Cordero Stephens,"Lanisha Javon Gholston, Terrell Briggs, Dominic Griffin, Kerry Hinkle Jr."
Sathuriyan,2016,,,90.0,Mystery,Viknesh Perrabhu,"Kalai Kj, Sasiva Roban Murthy, Tasmera Nair, Thanesh Perrabu"
The Impossible Child,2016,,,32.0,"Short, Family, Sci-Fi",Graham Knight,"Ellie Harris, Elisha Shackleton, Tristan Massey-Birch, Marcus Wood"
LOAK,2016,,,5.0,"Short, Drama",Jonny May,"Rudy Albarn, Vas Blackwood, Kola Bokinni, Ellie Goffe"
Nostradamus: Life & Death of King Louis XVI,2016,,,,"Short, Mystery",Shihyun Wang,Ken Peters
"Nostradamus: Revolutions, Timelines",2016,,,,"Short, Mystery",Shihyun Wang,Ken Peters
Intimacy,2016,,,4.0,"Short, Music",Jorge Lucas,"Christopher Gonzalez, Vanessa Guzman, Trevor Hamilton"
One Last Christmas,2016,,,21.0,"Short, Drama",Kevin Adams,"Francisco Encinia, Jennafer Elaine Holik, Malcolm Dwain Carter, Tina Rodriguez"
At the Peak of the World,2016,,,11.0,"Documentary, Short, Adventure",Omer Afriat,Doron Erel
JFK Killer and Motives Revealed: By Nostradamus,2016,,,,"Short, Mystery",Shihyun Wang,Ken Peters
"Nostradamus: Long Live the Queen, Short Lived Her 4 Kings",2016,,,8.0,"Short, Mystery",Shihyun Wang,
Mysteria,2016,,,12.0,"Short, Horror, Mystery",Bas van Nieuwland,"Klaus Peterson, Marinthe Smit, Bas van Nieuwland, Jesse Wouda"
Blasted Heath,2016,,Not Rated,72.0,"Comedy, Horror, Sci-Fi",Rubén Arnaiz,"Diana López, Crimsaiz, José Antonio López Alcántara, María Pilar Mendoza Simón"
Boring I Love You,2016,,,3.0,"Short, Music",Nikhil Malik,"Jatin Aggarwal, Karan Bhatia, Bhavna Mitruka, Ashi Singhal"
Blue Line Station,2016,,Not Rated,80.0,"Comedy, Drama",Jorge Xolalpa Jr.,"Raquenel, Summera Howell, Leo Ramsey, Jasmine Lopez"
Fritter,2016,,,2.0,"Animation, Short",Fabian Corona Hernandez,"Cinthia Rodriguez Romo, Quinn Van De Keere"
Where Are You,2016,,,20.0,Short,Tiffani Hilton,"Tiffani Hilton, Jordon Blackwell, Robbie Barnes, Megan Jones Turner"
Nostradamus' 21st Century Vision,2016,,,10.0,"Short, Mystery",Shihyun Wang,Ken Peters
The Christmas Story,2016,,,,"Short, Drama, Thriller",Charley Stadler,"Nikolett Barabas, Sergey Studinikin, Alice Tekucheva"
New Boots,2016,,,106.0,Documentary,Heather Reichel,"Austin Hall, Allison Schemrich, Jeanne Onuska, Rollin Hoffman"
No One Gonna Give You Love,2016,,,,"Short, Music",Erica Alexandria Silverman,"Gerald Brodin, Travis Cadwalader, Bette O'Callaghan, Kay Soper"
Nineteen,2016,,,10.0,"Documentary, Short",Elizabeth Archer,
Fix It,2016,,,14.0,Short,Matt Beeby,"Ryan Schleifmam, Charlie Simmons, Marissa Accordino, Peter Morris"
Hür,2016,,,12.0,"Short, Drama",Onur Canpek,"Nisa Nur Gönül, Tunahan Karaagacli, Behre Övgü Özalp"
Phulsiri,2016,,,30.0,"Short, Drama, Family",Ngima Gelu Lama,"Saroj Bhujel, Dudh Man Ghale, Hari Ghale, Milan Ghale"
Contract to Kill,2016,3.0,R,90.0,"Action, Adventure, Thriller",Keoni Waxman,"Steven Seagal, Russell Wong, Jemma Dallender, Mircea Drambareanu"
Stranger in the Dunes,2016,,Unrated,93.0,"Sci-Fi, Thriller",Nicholas Bushman,"Delphine Chanéac, Andrew Hovelson, Mike Dwyer"
Spectral,2016,,PG-13,107.0,"Action, Adventure, Sci-Fi",Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini"
Ikapito nga Adlaw: 7th Day,2016,,,15.0,"Short, Drama",Peter Solis Nery,"Peter Solis Nery, Kim Chauven Villaluna, Zyra Doronila, Christian Divinagracia"
Special School,2016,,,,Comedy,Ty DeMartino,"J.W. Myers, Shannon Terhune Lipshy, Brandon Walters, Maria Wojtila"
Behind the Curtain: Eclipsed,2016,,,74.0,Documentary,Collins Harris,"Akosua Busia, Stephen C. Byrd, Danai Gurira, Alia Jones Harvey"
Hideaway,2016,,,16.0,"Documentary, Short, Sci-Fi",Benjamin Rost,
White Powder,2016,,,75.0,Drama,Marek Dabrowski,"Judson Vaughan, George McCluskey, Justin Marosa, Du'aine A. Samuels"
Cellar Secret,2016,,,80.0,"Horror, Thriller",Michael Wade Johnson,"Joe DeBartolo, Portia Chellelynn, Derek L. Cook, Shellilynn"
Leviathan on Dreams Empire,2016,,,,"Short, Horror",Sergio Colastra,
When She Begins to Sway,2016,,,6.0,Short,Cory Carroll,"Crystal C. Dosser, Justin Stewart"
Lovesick,2016,,,93.0,"Drama, Romance",Tyson Caron,"Jay Baruchel, Adam Brooks, Sarah Constible, Rebecca Gibson"
Sub Rosa,2016,,,15.0,"Short, Drama",Spencer Devlin Howard,"Sigute Miller, Claire Kaplan, Stephen Hastings"
CREED C,2016,,,127.0,Comedy,Francesco Cippone,"Gerardo Amato, Francesco Cippone, Gianni Alvino, Carmen di Pietro"
Achchhe Din,2016,,,,"Short, Drama",Aron Mitr,"Shashwat Deep, Vijay Kumar, Chandra Mohan Mahendru, Anand Zareef Malik"
Dry-Gulch,2016,,,17.0,"Short, Comedy, Thriller",Dan Liechty,"Ben Chapins, Curtiss Johns"
Virion,2016,,,6.0,"Animation, Short",Glynn Urquhart,
The Old Man's Pendant,2016,,,7.0,"Short, Fantasy",Jody Bruchon,Jody Bruchon
Balancé,2016,,,14.0,"Documentary, Short",Ian Winstanley,Laura Tye Purkiss
Shishbarak,2016,,,9.0,"Short, Drama",Bayan Dahdah,"Richard Garvey, Hania Hammoudi, Sarah Yousef"
My Name Is John Franke,2016,,,18.0,"Documentary, Short",Nicholas Frangakis,John Franke
Bad Girl,2016,,Not Rated,90.0,"Drama, Family",Greg Galloway,"Ajiona Alexus, Gregory Alan Williams, Chrystee Pharris, Darrin Dewitt Henson"
Grateful Films,2016,,,61.0,"Comedy, Drama, Mystery",David Rowlett,"Mike Stanley, Avi Tomczak, Robert C. Jolley Jr., Jen MacDonald"
Luxated Nowhere,2016,,,,"Short, Fantasy",Sami Caravella,Sara Lavelle
Waiting for Giraffes,2016,,,84.0,Documentary,Marco De Stefanis,Sami Khader
Hurt,2016,,,10.0,"Short, Drama",Kieran Cheang,"Yu Chun, Lokies Khan, Clarence Lee, Thura Nyo"
A Girl in the Room,2016,,,27.0,"Short, Comedy, Drama",Karim Lakzadeh,"Yoosefali Daryadel, Mohammad Mohammadloo, Ahmad Mostafaei, Sonia Sanjari"
A Present from the Past: 20 September,2016,,,80.0,"Documentary, Adventure, Biography",Kawthar Younis,"Kawthar Younis, Mokhtar Younis"
Pollution of the Heart,2016,,,16.0,"Short, Drama, Fantasy",Oliwia Siem,"Hanna Sleszynska, Damian Kret, Michalina Olszanska, Dorota Liliental"
The House of Mirth,2016,,,64.0,Music,David Sudmalis,"Carmen Foon, Kerzlake, Liberty Marshall-Lacey"
El sitio de los sitios,2016,,,54.0,"Documentary, Comedy",Natalia Cabral,"Alejandro Castro, Lissete Díaz, Abel Johann González, Carlos M. Matos"
A Guidebook to Killing Your Ex,2016,,,71.0,"Comedy, Drama, Horror",József Gallai,"Balázs Szitás, Tímea Virga, Tamás Szilágyi, Olivia Barta"
Her Name Was Torment 2,2016,,,,Horror,Dustin Mills,"Allison Egan, Haley Madison, Dustin Mills, Joni Durian"
"I Do, Maybe?",2016,,,,"Comedy, Drama, Romance",Tawanda Madden-Jones,"Kerri J. Baldwin, Kenneth Israel, Racquel Bianca John, Sir Brodie"
Broken Tale,2016,,,10.0,"Animation, Short, Mystery",Pawel Kleszczewski,
Fireside Tales,2016,,R,70.0,Horror,Ian Messenger,"Donna Brown, Justin Celani, Tim Christie, Suzanne Currier"
Another Forever,2016,,,72.0,Drama,Juan Zapata,"Daniela Escobar, Marlon Moreno, Peter Ketnath, Barbara Scolaro"
Song of the Airborne,2016,,,,"Short, Music",T. Scott Ennis,
Gyrating Rocket,2016,,,,"Short, Comedy",Sheila Evans,"Sheila Evans, Ian William George, Susan Dodsworth, Annie Gay"
Las películas de Bruno Mattei,2016,,,9.0,"Documentary, Short",Jordan Lopez,Bruno Mattei
Mani Nostre: Talking Hands,2016,,,64.0,Documentary,Caterina Pecchioli,
Chroma K,2016,,,9.0,"Short, Comedy, Crime",Lola Fragueiro,"Víctor Ruiz, Paco Peña, Marina Cassini, Álvaro Millán"
Sex Cowboys,2016,,,90.0,Drama,Adriano Giotti,"Nataly Beck'S, Francesco Maccarinelli, Vito Napolitano, Francesca Renzi"
Tuta,2016,,,27.0,"Short, Drama",Sandro Souladze,"Mariam Enukidze, Bidzina Macharashvili, Givi Maghradze"
Matar al Presidente,2016,,,15.0,"Short, Action, Comedy",Pedro Pacheco Arlandi,"Encarna Guadalmedina, Juanma Lara, Jesús López, Pablo López"
Crab Catchers,2016,,,14.0,"Documentary, Short",Prem Hessenkamp,
Vsechno,2016,,,27.0,"Short, Comedy",Simon Holy,"Václav Sanda, Pavel Kozohorský, Daniela Choderová, Dana Poláková"
The Founder,2016,66.0,PG-13,115.0,"Biography, Drama",John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini"
The Bucolic Land of Peccioli,2016,,,3.0,"Documentary, Short",Arepo,Piero Cilotti
Surviving Unemployment: Making a Commercial,2016,,,,"Short, Comedy",Janet Christensen-Obrien,"Angelina Bailey, Sarah Bridges, Squeek Nutty Bug, Janet Christensen-Obrien"
Balloons,2016,,,65.0,Drama,Mariano González,Mariano González
Echo Music Video,2016,,,,"Short, Music",The Adarna,"Will Moore, Andreka Jasek, Tyler Korth, Murdock"
It's Always You,2016,,,13.0,"Short, Drama",Elias Wynshaw,"Tom Bonington, Hugh Stubbins, Laura Waldren"
One for the Road,2016,,,11.0,"Documentary, Short",Fernanda Faya,
Wicked Game,2016,,,4.0,"Short, Music",Sohrab Mirmont,"Jordi Caballero, Nikki Moore"
Dan Rather: Courage Under Fire,2016,,,20.0,Short,Manuel Ceniceros,
All Were Forgotten... And Then Came John,2016,,,89.0,Documentary,Calvin Len Ligh,"George Behr, Larry Carter, Bill Cunningham, Marino Di Filippo Jr."
It's Getting Dark,2016,,,48.0,Documentary,Olga Kravets,
4 Tempos,2016,,,7.0,"Short, Drama",Fábio A.C. Santos,"Sara Saavedra, Joana Silva, Diogo C.C., Jorge Ferreira"
Etsinnässä,2016,,,80.0,"Comedy, Drama, Romance",Jevgeni Lensu,"Markus Mäkelä, Veera W. Vilo, Liinu Kinnunen, Jaana Räsänen"
Umbrella,2016,,,90.0,Drama,Michael T. Smith,"Devin Toft, Roxanne Ebrahimi, Benjamin Woof, Rowena Diamond"
Land and Culture Documentary,2016,,,,"Documentary, Short",Richard C. Chambers,
TTUI,2016,,,2.0,"Short, Sci-Fi",Rohan Francis,Rohan Francis
Mortem,2016,,,50.0,"Drama, Horror, Thriller",Sergey A.,"Sergey A., Evgeniy Mishukhin, Nikolay Yeriomin, Sergey Mudrov"
Non Violent Criminal,2016,,,,"Short, Action",John Blankenship,"Lyrique King, Austin West"
The Rain Collector,2016,,TV-G,12.0,"Short, History",Isabella Wing-Davey,"Celine Buckens, Hermione Norris, Max Bennett, Tom Mothersdale"
Noiembrie,2016,,,24.0,"Short, Drama",Ion Ioachim Stroe,"Ovidiu Mihaita, Alexandru Vlad"
Cheer Me Up,2016,,,75.0,Drama,Mili Ben Hayl,"Ofer Amram, Gili Saar, Ben Shellef"
"Monster; or, Bride of Frankenstein",2016,,,9.0,"Short, Sci-Fi",Antonio Annunziata,Caroline Tyka
The Swimming Club,2016,,,10.0,"Documentary, Short",Nick Finegan,
Owaranai hito: Miyazaki Hayao,2016,64.0,,70.0,"Documentary, Biography",Kaku Arakawa,"Hayao Miyazaki, Toshio Suzuki, Yuhei Sakuragi, Yukinori Nakamura"
Zavestanje,2016,,,88.0,Documentary,Ivan Jovic,
Strange Man in Atlanta,2016,,,,"Short, Comedy",Peter Boiadzhieff,Peter Boiadzhieff
VREME,2016,,,53.0,Documentary,Dragana Jovanovic,
22,2016,,,6.0,Short,J.N. Scott,"Jack Deleo, Emily Samimi, J.N. Scott"
Grozota,2016,,,15.0,"Short, Drama",Taras Hemon,"Tatjana Cornij, Jasmin Geljo, Mirko Miljevic, Goran Slavkovic"
The Comedian,2016,40.0,R,120.0,"Comedy, Drama, Romance",Taylor Hackford,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco"
Ziarah,2016,,,87.0,Drama,B.W. Purba Negara,"Ponco Sutiyem, Rukman Rosadi, Ledjar Subroto, Vera Prifatamasari"
Zero Point 3%,2016,,,,Short,Mohammed Adil,"Hriiday Malhotra, Sahitya Sahay"
Detrás las Puertas,2016,,,12.0,"Short, Drama",Katherine Mendez,"Felipe Figueroa, Glen Jimenez, Ydaiber Orozco, Jonée B. Shady"
For Marta,2016,,,17.0,"Short, Drama",Ryan Guiterman,"Tony Curtis, Dani de Waal, Isabel Ellison, Logan Georges"
Finding Home,2016,,,13.0,Short,Christian Kuntz,"Søren Hauch-Fausbøll, Kirstine Kuntz, Thure Lindhardt, Mia Lyhne"
Claiming Iggy,2016,,,31.0,"Documentary, Short, Comedy",Dan Kauppi,"Trevor Corey, Dan J. Kauppi, Donald Kauppi, Iggy Pop"
Yetunde,2016,,,14.0,"Short, Drama",Abike Washington,"Abike Washington, Lucretia Johnson, Bridget Pervalle, Mark Edward Howell"
Landscape with the Fall of Icarus,2016,,Not Rated,26.0,"Animation, Short",Chris Sullivan,
Geordie Jazz Man,2016,,,52.0,Documentary,Abi Lewis,"Eric Burdon, Mike Figgis, Greg Hicks, Wynton Marsalis"
I wish I wish,2016,,,82.0,Horror,Eduardo M. Clorio,"Israel Amescua, Fitzgerald Navarro, Iván Mondragón, Norma Mora"
How to Make Christmas Carp?,2016,,,13.0,"Short, Comedy, Drama",Jan Bujnowski,"Ignacy Milczarek, Matylda Paszczenko, Michal Staszczak"
Moira 2.0,2016,,,7.0,"Short, Thriller",Chelsea Stone,"Alicia Brower, Felisha Michelle Cacho, Emy Tibangin, Julia Tilden"
When I Grow Up,2016,,,9.0,"Short, Drama",Cameron Voris,"Erica Averill, Jewel Huskey, Draven Purser"
Land of Light,2016,,,70.0,"Adventure, Drama, Fantasy",David Ruf,"Noor Kayson, Najem Edden Al Kassem, Jawa Al Kassem, Khaled Tlass"
Ventilator,2016,,,143.0,Drama,Rajesh Mapuskar,"Tanvi Abhyankar, Kirti Adarkar, Purnima Ahire, Satish Alekar"
Ghost Image,2016,,,6.0,"Short, Horror, Thriller",Katie Damien,"Rae Becka, Kay Galvin, Tina Herring, Penny Munroe"
The Man Who Knew 75 Languages,2016,,,64.0,"Documentary, Animation, Biography",Pawel Debski,"Robert Günschmann, Robert Clark, Anastasija Marcenkaite, Valda Bickute"
A maldição tropical,2016,,,14.0,"Documentary, Short, Sci-Fi",Luisa Marques,Darks Miranda
Breaking Free: A Survivor's Journey,2016,,,10.0,"Documentary, Short",Daniel Mills,K. Victoria Chase
Better Men,2016,,,4.0,"Short, Drama",Twm Burrows,"Luke Courtney-O'Donnell, George Stephens"
My Dead Boyfriend,2016,25.0,R,90.0,Comedy,Anthony Edwards,"Heather Graham, Scott Michael Foster, Katherine Moennig, Griffin Dunne"
Burning Hope,2016,,,85.0,Drama,Lotfi Achour,"Doria Achour, Anissa Daoud, Achref Ben Youssef"
Sandra Munt's Adventure,2016,,,30.0,"Short, Adventure, Mystery",Rubén Arnaiz,"Aranzazu Diez, Emma Caballero, Christian Stamm, Maria Ivanova"
Believers,2016,,,18.0,"Documentary, Short",Ray Whitehouse,
San Sabba,2016,,,30.0,Short,Romana Turina,
The Piano Player,2016,,,4.0,"Short, Horror",Chris O'Callaghan,"Mark Herd, Chris O'Callaghan"
Shmita,2016,,,12.0,"Short, Comedy",Gal Rosenbluth,"Ruthie Grossman, Gita Amely, Dor Ronen"
Nettle,2016,,,63.0,"Action, Comedy, Drama",Sergey A.,"Nikita Kuznetsov, Nikolay Yeriomin, Dmitriy Rasseko, Ivan Yakovidish"
The Supper,2016,,,11.0,"Short, Horror, Thriller",Karim Shaker,"Jordi Estupiñá, Patricia Fuertes, Fonsi Liébana, Silvia Segovia"
Asylum,2016,,,10.0,"Short, Horror",Rhiannon Elizabeth Irons,"Rhiannon Elizabeth Irons, Jarred Nielsen, India Grace Thorley, Rhett Morrow"
Heroes Manufactured,2016,,,90.0,"Documentary, Action, Adventure",Yaron Betan,"Neal Adams, Vitaly S. Alexius, Gillian Anderson, Sanya Anwar"
Shelter,2016,,,70.0,Documentary,Brent Renaud,
Sorority Slaughterhouse,2016,,Not Rated,85.0,Horror,David DeCoteau,"Eric Roberts, Jessica Morris, Jean Louise O'Sullivan, Anthony Caravella"
Horror Icon: Inside Michael's Mask with Tony Moran,2016,,,,Documentary,David Langill,"Ernie Hudson, Dee Wallace, P.J. Soles, Vernon Wells"
I Wish,2016,,,20.0,"Documentary, Short",Hasan Erdogmus,"Kadriye Baydar, Canfer Baydar"
Partija,2016,,,,"Short, Drama",Jovan Batas,"Kajetan Bajt, Tanja Frbezar, Laura Matic Gallo, Dolores Kirhmajer"
Decoding of Antsy Mothership Crop Circle,2016,,,,"Short, Mystery",,
Puppy Love,2016,,,,"Short, Drama",Chris Le Roy,Kristie Owen
Unwritten,2016,,,36.0,Short,Amr Singh,"Lok Chitrakar, Mohanbaba Karmacharya, Pavit Maharjan, Shyam Nepali"
The Safe Room,2016,,,14.0,"Short, Horror",Spencer Serra,"Jennifer Blain-Gostan, Jason Kulas"
Bakerman,2016,,,83.0,"Crime, Drama, Fantasy",David Noel Bourke,"Mikkel Vadsholt, Brian Hjulmann, Siir Tilif, Mia Lerdam"
Raakavedos,2016,,,51.0,"Horror, Mystery, Thriller",Elmo Rautio,"Elmo Rautio, Saara-Emilia Rautio, Elli-Noora Rautio, Hanna Louhimo"
Mustafa,2016,,,90.0,Documentary,Sarykhalilov Ernes,Pasichnyk Maxim
Sidekick,2016,,,15.0,"Short, Action, Drama",Jeff Cassidy,"Josh Dallas, Christian Michael Cooper, Emily Bett Rickards, Tom Cavanagh"
In This Corner of the World,2016,73.0,PG-13,129.0,"Animation, Drama, Family",Sunao Katabuchi,"Non, Ava Pickard, Kenna Pickard, Karen Strassman"
Automatic at Sea,2016,,,87.0,"Adventure, Drama, Mystery",Matthew Lessner,"Breeda Wool, David Henry Gerson, Livia Hiselius, Evan Louison"
White as Snow,2016,,,7.0,"Short, Fantasy",James Morency,"Olivia Adams, Craig Alexander, Danessa Elreya, Levi Harkness"
Geschichte einer Liebe: Freya,2016,,,87.0,Documentary,Hans-Helmut Grotjahn,"Nina Hoss, Ulrich Matthes"
Butterflies,2016,,,79.0,Documentary,Dmitriy Kubasov,Alexey Artemiev
Padre,2016,,,91.0,Drama,Giada Colagrande,"Giada Colagrande, Willem Dafoe, Franco Battiato, Marina Abramovic"
Mexicanos de Bronce,2016,,,100.0,Documentary,Julio Fernandez Talamantes,
The History of the Hands,2016,,,105.0,Documentary,Dmytro Bondarchuk,
Extraordinary Sex,2016,,,,Short,Craig Caddell,Craig Caddell
Demon Sock,2016,,,13.0,"Short, Comedy",Trevor DiLucchio,"Luke Allen, Natalia Marchesi, Frank Salinas, Kelly McDevitt"
The Last Run of Pretty Boy Floyd,2016,,,62.0,Documentary,David Dunlap,"Brian Vaughn, Veronica Conkle, James Cannon, J.C. Blackhurst"
Homecoming,2016,,,14.0,"Short, Drama",Sinéad O'Loughlin,"David Greene, Johanna O'Brien"
Pleasure Partners: Missing Peace,2016,,,,"Short, Horror",Ian Rayburn,"Ian Rayburn, Sabrina Persaud, Marc-Anthony Sarria, Junior Williams"
Sexy Nude Women,2016,,,,"Short, Fantasy",Craig Caddell,Craig Caddell
Amazing Sex,2016,,,,Short,Craig Caddell,Craig Caddell
Discolocos,2016,,,102.0,Documentary,David Davila Herrera,"Pascal Languirand, Luis Alán Vega, José Luis Cornish, Alicia Rodríguez"
Taylor Tote 'Fighter',2016,,,6.0,"Short, Music",Kostas Lymperopoulos,"Ryan Clarke, Hannah Rose Gorsegner, Natalie Grace Gorsegner, Mia McCaffrey"
Coco,2016,,,20.0,"Short, Drama",Veronica Succi,"Antonia San Juan, Eva Basteiro-Bertoli, Giulio Maroncelli, Federico Rosati"
Verde Pistacho,2016,,,12.0,"Short, Comedy",Paco Cavero,"Manuel Burque, Carlos Chamarro, Melani Olivares, Luis Siles"
Les incapables,2016,,,23.0,"Short, Drama",Roxanne Gaucherand,"Yoann Zimmer, Noémie Schmidt, Judith Williquet"
Bad Cop/Bad Cop,2016,,Not Rated,16.0,"Short, Action, Adventure",John Karsko,"Nathan Tymoshuk, Josh Mruz, Douglas Sidney, Brandon Van Vliet"
Don't Fuck in the Woods,2016,,Unrated,73.0,Horror,Shawn Burkett,"Brandy Mason, Scott Gillespie, Brittany Blanton, Ayse Howard"
The Remake,2016,,PG-13,97.0,"Comedy, Drama, Family",Lynne Alana Delaney,"June Lockhart, Timothy Carhart, Sally Kellerman, Robert Romanus"
