title,year,metascore,mpaa_rating,runtime_min,genre,director,stars
Nothing But the Truth,2000,,,85.0,Comedy,Brad White,"Valorie Armstrong, Gina Gallego, Ruth Buzzi, Royce D. Applegate"
The Nature of Reality,2000,,,,,James Muir,"Jenna Dotzert, Armen Ashekian, Mike Forler, Jonathan C. Dietrich"
Xscape,2000,,,135.0,"Drama, Sci, Fi, Mystery",Aaron Michael Lacey,"Emile Piscitelli, Markus Alexander, Tom Mangione, Ana Yudiskas"
Mulligan,2000,,,,"Sport, Comedy",Tim VandeSteeg,"Trei Michaels, Cedric Yarbrough, Joshua Will, Steve Lattery"
Love Her Madly,2000,,,92.0,"Drama, Thriller",Ray Manzarek,"T.J. Thyne, Madison Mason, Jennifer Lothrop, Richard Danielson"
Faith and the Water Dog,2000,,,,"Action, Romance, Comedy",Rick Strom,"Joe Roseto, Brady Fischer, Mollie Milligan, Stuart Harris"
Come as You Are,2000,,,,Short,Bruce La Bruce,
Last Stand,2000,,Not Rated,94.0,"Action, Sci, Fi",Lloyd A. Simandl,"Josh Barker, Orestes Matacena, Katerina Brozová, Kate Rodger"
Aquarius,2000,,,,"Action, Sci, Fi",Kory Juul,"Melinda Fausch, Jeremy Orebaugh, Lindsay Czarniak, Jesse Rider"
An Intimate Friendship,2000,,,85.0,"Drama, Romance",Angela Evers Hughey,"Tim McMillan, Stacy Marr, Rini Starkey, Lisel M. Gorell"
In Loving Memory,2000,,,,Drama,Audrey O'Reilly,"Sean Colgan, Margaret Twomey, Mary Ryan, Gerard Lee"
Chasing the Dragon,2000,,,120.0,Drama,Alexander Samaan,"Hilit Pace, Lisa Marie, Sam Ball, Jesse Woodrow"
The Third Lie,2000,,,,Drama,Thomas Vinterberg,
King of the Korner,2000,,,,Drama,James Mathers,"Hannes Jaenicke, Robert Overby, Saul Williams, Leo Fitzpatrick"
Tea Cakes or Cannoli,2000,,,,Family,Francine Pellegrino,"Susanne Calabrese, Conor Dubin, Chad Bartulis, John Fiore"
After the Rain,2000,,,87.0,"Drama, Crime, Thriller",Mark Lamprell,"Rupert Cox, Paulina Porizkova, Alexandra Davies, Robert Taylor"
Mars and Beyond,2000,,,,"Short, Sci, Fi",Herbert Wright,"Sharisse Baker-Bernard, Edward Asner, Majel Barrett, Nick Benedict"
Flick,2000,,,,Comedy,William J. Tedford,"David Adams, Chris Kurak, Cara Armstrong, M. John Kennedy"
The Good Doctor,2000,,,30.0,"Short, Drama",Kenneth Orkin,"James Coburn, Rick Zieff, Shirley Anne Field, Ione Skye"
Astronomy of Errors,2000,,,84.0,"Romance, Sci, Fi, Comedy",Edward Haber,"Christopher Bayes, Gareth Guest, Annie Piper, Steven Epp"
Ninja Mission 2000,2000,,,,"Action, Adventure, Comedy",Fred Anderson,"A.R. Hellquist, Johnny Strömgren, David Norrman, Pierre Toresson"
Endsville,2000,,,,Drama,Steven Cantor,"Kyle Secor, Jim Gaffigan, Alan Ruck, Dwight Ewell"
That Summer in LA,2000,,,,,Simon Clarke,"Alexis Cruz, Adam Caine, Carlos Gómez, Talisa Soto"
My Next Funeral,2000,,,77.0,Comedy,Frederick R. Friedel,"Paul Vito Abato, Anne Apra, Eugene Alper, Paul Bacca"
The Cheapest Movie Ever Made,2000,,,,"Action, Comedy",A.J. Jamal,"Dante, Art Evans, A.J. Jamal, Roy Fegan"
Lucy You Love It,2000,,,,"Documentary, Comedy",Jesse Ray Boehm,"Jovana Brown, Jason Mewes, Kevin Smith, Will Hall"
The Exchange,2000,,R,95.0,"Drama, Crime",Ed Nicoletti,"Sam Levassar, Robert Lewis Stephenson, Robert Wahlberg, Anthony Mangano"
Zombie Bloodbath 3: Zombie Armageddon,2000,,,90.0,Horror,Todd Sheets,"Abe Dyer, Jolene Durrill, Blake Washer, Curtis Spencer"
"Free Delivery, the Horror!",2000,,,,"Horror, Comedy",Jesse Ray Boehm,
Divine Intervention,2000,,,,"Short, Romance, Comedy",Jack Reda,"Steve Wagner, Brian Howard, Ceci Stephens, Amy Bowyer"
Apartment Hunting,2000,,,89.0,"Romance, Comedy",Bill Robertson,"Kari Matchett, Tracy Wright, Andrew Tarbet, Matt Gordon"
Life-In-Progress,2000,,,,Comedy,David W. Smith,"Erik Bennett, Amarie Loerzel, Richard Sturtevant, Christopher May"
A Lord Portrait,2000,,,,Documentary,Raymond Bally,
Another Day in L.A.,2000,,,15.0,Short,Jon Riley,Johnny Keatth
Aliendog: Life as it is,2000,,,,"Drama, Crime",Hombeline Dumas,"Leah Kosatsky, Waleed Algumer, Maia Nadon-Chbib, Michael Jorden Colton"
Magicians,2000,,,108.0,Comedy,James Merendino,"Claire Forlani, Fabrizio Bentivoglio, Alan Arkin, Til Schweiger"
Brooklyn Sonnet,2000,,R,95.0,"Action, Drama",Elyse Lewin,"Philip Bosco, Jim Stanek, Joseph Lyle Taylor, Kerry Butler"
